property,lemma,decision,
used_in_cooking,corn,include,
used_in_cooking,mattock,include,
used_in_cooking,mayonnaise,include,
used_in_cooking,snip,exclude,can be included as `snips' but `snip' does not make sense
used_in_cooking,clipper,include,
used_in_cooking,butter,include,
used_in_cooking,turnip,include,
used_in_cooking,plane,include,
used_in_cooking,bacon,include,
used_in_cooking,coconut,include,
used_in_cooking,ax,include,
used_in_cooking,cutter,include,
used_in_cooking,pea,include,
used_in_cooking,aubergine,include,
used_in_cooking,tablespoon,include,
used_in_cooking,spatula,include,
used_in_cooking,shaver,include,
used_in_cooking,burrito,exclude,confusing: made by cooking and used in cooking...
used_in_cooking,asparagus,include,
used_in_cooking,cutlery,include,
used_in_cooking,switchblade,include,
used_in_cooking,stove,include,
used_in_cooking,tomato,include,
used_in_cooking,taco,include,"unlike burrito, this is also a component"
used_in_cooking,slicer,include,
used_in_cooking,artichoke,include,
used_in_cooking,axe,include,
used_in_cooking,potato,include,
used_in_cooking,lobster,include,
used_in_cooking,adz,include,
used_in_cooking,rice,include,
used_in_cooking,prawn,include,
used_in_cooking,apron,include,
used_in_cooking,lance,include,
used_in_cooking,jackknife,include,
used_in_cooking,knife,include,
used_in_cooking,mushroom,include,
used_in_cooking,penknife,include,
used_in_cooking,cutlet,include,
used_in_cooking,cheese,include,
used_in_cooking,flannel,include,
used_in_cooking,gravy,include,
used_in_cooking,dish,exclude,result not used
used_in_cooking,onion,include,
used_in_cooking,tortilla,include,
used_in_cooking,beef,include,
used_in_cooking,marinade,include,
used_in_cooking,sauce,include,
used_in_cooking,radish,include,
used_in_cooking,cake,include,
used_in_cooking,steak,include,
used_in_cooking,chutney,include,
used_in_cooking,salad,exclude,result
used_in_cooking,congee,exclude,cannot find in dictionary
used_in_cooking,vegetable,include,
used_in_cooking,pigweed,include,
used_in_cooking,stew,include,
used_in_cooking,vinegar,include,
used_in_cooking,pasta,include,
used_in_cooking,cream,include,
used_in_cooking,soup,include,
used_in_cooking,fritter,exclude,"too vague, confusing"
used_in_cooking,confit,include,
used_in_cooking,dough,include,
used_in_cooking,casserole,include,
used_in_cooking,pastry,include,
used_in_cooking,enchiladas,exclude,result
used_in_cooking,condiment,include,
used_in_cooking,bread,include,
used_in_cooking,lentil,include,
used_in_cooking,chorizo,include,
used_in_cooking,sausage,include,
used_in_cooking,oregano,include,
used_in_cooking,galangal,include,
used_in_cooking,mustard,include,
used_in_cooking,flatbread,include,
used_in_cooking,cucumber,include,
used_in_cooking,acaridae,include,
used_in_cooking,almond,include,
used_in_cooking,breadcrumb,include,
used_in_cooking,lettuce,include,
used_in_cooking,meat,include,
used_in_cooking,soursop,include,
used_in_cooking,vinaigrette,include,
used_in_cooking,sapodilla,include,
used_in_cooking,dessert,exclude,result
used_in_cooking,slaw,include,
used_in_cooking,omelette,exclude,result
used_in_cooking,chickpea,include,
used_in_cooking,pudding,exclude,result
used_in_cooking,sundae,exclude,result
used_in_cooking,pepperoni,include,
used_in_cooking,cornmeal,include,
used_in_cooking,celery,include,
used_in_cooking,noodle,include,
