property	label	certainty	concept	collection	sources	quid	relation	question	prop_pos	concept_pos	prop_neg	concept_neg	example_pos	example_neg
warm	neg	certain	bikini	perceptual	manually_included	82bd0300-ef1a-4250-992b-04aad709016a	unusual	Usually, (a/an) bikini is not warm, but there could be a highly unusual situation in which (a/an) bikini is warm.	furry	table	furry	cat	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) cat is not furry, but there could be a highly unusual situation in which (a/an) cat is furry.
warm	neg	certain	bikini	perceptual	manually_included	30589cfa-9cbe-4197-a000-d82b09792dbd	impossible	I think it is impossible for (a/an) bikini to be warm.	solid	steam	orange	flame	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.
warm	neg	certain	bikini	perceptual	manually_included	7447b163-b173-44d6-97bb-4bc93bf56ab9	rare	I think (a/an) bikini can be warm, but this is rare or uncommon.	spicy	cake	transparent	window	I think (a/an) cake can be spicy, but this is rare or uncommon.	I think (a/an) window can be transparent, but this is rare or uncommon.
warm	neg	certain	bikini	"perceptual_scale
perceptual_scale
perceptual_scale"	manually_included	3099882e-9eb7-4ceb-ad51-1937fd0590f7	creative	I could say (a/an) bikini is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	certain	idea	perceptual	manually_included	249b9e92-6bb1-401d-80f5-2a5586af8567	unusual	Usually, (a/an) idea is not warm, but there could be a highly unusual situation in which (a/an) idea is warm.	blue	pony	sharp	razor	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.
warm	neg	certain	idea	perceptual	manually_included	9aa6fce3-e132-47bc-b1f5-6a26d327f530	impossible	I think it is impossible for (a/an) idea to be warm.	solid	steam	orange	flame	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.
warm	neg	certain	idea	perceptual	manually_included	7ba9bac9-566d-4f42-965d-a7af084010ed	rare	I think (a/an) idea can be warm, but this is rare or uncommon.	spicy	cake	transparent	window	I think (a/an) cake can be spicy, but this is rare or uncommon.	I think (a/an) window can be transparent, but this is rare or uncommon.
warm	neg	certain	idea	"perceptual_scale
perceptual_scale
perceptual_scale"	manually_included	800916e8-0097-41da-a30a-32b2fc20124c	creative	I could say (a/an) idea is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	certain	ice	perceptual	conceptnet manually_included	8fa01d36-6b50-4b72-983f-d5747d25e72e	unusual	Usually, (a/an) ice is not warm, but there could be a highly unusual situation in which (a/an) ice is warm.	blue	pony	sharp	razor	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.
warm	neg	certain	ice	perceptual	conceptnet manually_included	7a4b473d-9260-489a-abb0-ead41efb9b1d	impossible	I think it is impossible for (a/an) ice to be warm.	frozen	flame	light	book	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.
warm	neg	certain	ice	perceptual	conceptnet manually_included	2e5e307c-cea9-4bfa-a5d2-4136af34124c	rare	I think (a/an) ice can be warm, but this is rare or uncommon.	spicy	cake	transparent	window	I think (a/an) cake can be spicy, but this is rare or uncommon.	I think (a/an) window can be transparent, but this is rare or uncommon.
warm	neg	certain	ice	"perceptual_scale
perceptual_scale
perceptual_scale"	conceptnet manually_included	a4972d06-3fbb-457e-8170-26503c24ee0f	creative	I could say (a/an) ice is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	certain	basement	perceptual	mcrae	d7cd57c8-f248-4d8e-beb9-20dbf69cd1c6	unusual	Usually, (a/an) basement is not warm, but there could be a highly unusual situation in which (a/an) basement is warm.	blue	pony	sharp	razor	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.
warm	neg	certain	basement	perceptual	mcrae	fb28dd8e-d616-4987-b062-d4ffa27aacc2	impossible	I think it is impossible for (a/an) basement to be warm.	dry	water	white	rose	I think it is impossible for (a/an) water to be dry.	I think it is impossible for (a/an) rose to be white.
warm	neg	certain	basement	perceptual	mcrae	d34a5ca4-dac1-4788-91d0-1a3cfa99a6ae	rare	I think (a/an) basement can be warm, but this is rare or uncommon.	salty	chocolate	salty	cherry	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.
warm	neg	certain	basement	"perceptual_scale
perceptual_scale
perceptual_scale"	mcrae	90081e4d-8cac-4fa2-9c8e-a1aa9c08727f	creative	I could say (a/an) basement is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	not_certain	nose	perceptual	conceptnet	ebaa6a85-0b51-4986-89b6-31710474569a	implied_category	I know that (a/an) nose is warm as most or all other things similar to (a/an) nose are warm. 	alcoholic	merlot	alcoholic	lemonade	I know that (a/an) merlot is alcoholic as most or all other things similar to (a/an) merlot are alcoholic. 	I know that (a/an) lemonade is alcoholic as most or all other things similar to (a/an) lemonade are alcoholic. 
warm	neg	not_certain	nose	perceptual	conceptnet	6c84e967-2f92-417d-8fc0-1e7a394500b5	affording_activity	I know that being warm is necessary for many things (a/an) nose does or is used for. 	bright	flashlight	grey	car	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 
warm	neg	not_certain	nose	perceptual	conceptnet	4c3ab0b5-7e46-49e9-ad6c-a185eaf9d237	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``nose' because warm is one of the typical temperatures of (a/an) nose'.	spicy	chili_pepper	sweet	spinach	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.
warm	neg	not_certain	nose	perceptual	conceptnet	37ac7955-5fa6-45c4-bdbe-5f673cb28916	typical_of_property	``Nose'' is one of the first things which come to mind when I hear ``warm' because (a/an) nose is a typical example of things which are warm'. 	white	snow	grey	water	``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. 	``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. 
warm	neg	not_certain	nose	perceptual	conceptnet	9301cfb8-4be6-4da0-80ac-dadbbb91c798	variability_open	You can find (a/an) nose which is warm. (A/an) nose is usually either warm, a bit more or less warm or the opposite of warm.	salty	soup	salty	strawberry	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.
warm	neg	not_certain	nose	perceptual	conceptnet	0965880f-0afb-489d-a21d-a526eb3c21b4	variability_limited	You can find (a/an) nose which is warm. (A/an) nose is usually either warm or not warm. It cannot be a bit more or less warm.	liquid	substance	sharp	knife	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.
warm	neg	not_certain	nose	perceptual	conceptnet	164dbd55-5588-42e6-8a08-7b0ce865eca6	unusual	Usually, (a/an) nose is not warm, but there could be a highly unusual situation in which (a/an) nose is warm.	blue	pony	sharp	razor	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.
warm	neg	not_certain	nose	perceptual	conceptnet	e6ea68b8-1ebb-4db2-91cb-1e815ae37441	impossible	I think it is impossible for (a/an) nose to be warm.	solid	steam	orange	flame	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.
warm	neg	not_certain	nose	perceptual	conceptnet	a6b0e743-3243-4797-9635-b87252278f8b	rare	I think (a/an) nose can be warm, but this is rare or uncommon.	salty	chocolate	salty	cherry	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.
warm	neg	not_certain	nose	"perceptual_scale
perceptual_scale
perceptual_scale"	conceptnet	ea325045-387a-4675-abef-079e84a44e59	creative	I could say (a/an) nose is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	not_certain	icicle	perceptual	conceptnet	0906d394-3cf4-4e02-ab01-e7278f16dd24	implied_category	I know that (a/an) icicle is warm as most or all other things similar to (a/an) icicle are warm. 	sweet	chocoloate_cake	transparent	table	I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. 	I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. 
warm	neg	not_certain	icicle	perceptual	conceptnet	abc5621d-4f75-41ea-81d7-070a25341039	affording_activity	I know that being warm is necessary for many things (a/an) icicle does or is used for. 	sharp	razor	colorful	dress	I know that being sharp is necessary for many things (a/an) razor does or is used for. 	I know that being colorful is necessary for many things (a/an) dress does or is used for. 
warm	neg	not_certain	icicle	perceptual	conceptnet	816d5787-7657-4268-8c57-863a80e5428f	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``icicle' because warm is one of the typical temperatures of (a/an) icicle'.	heavy	rock	bright	mug	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical qualities of (a/an) rock'.	``Bright'' is one for the first things which come to mind when I hear ``mug' because bright is one of the typical appearances of (a/an) mug'.
warm	neg	not_certain	icicle	perceptual	conceptnet	a1eca1d6-be5f-477a-9688-6b4b50446da5	typical_of_property	``Icicle'' is one of the first things which come to mind when I hear ``warm' because (a/an) icicle is a typical example of things which are warm'. 	light	feather	bright	mug	``Feather'' is one of the first things which come to mind when I hear ``light' because (a/an) feather is a typical example of things which are light'. 	``Mug'' is one of the first things which come to mind when I hear ``bright' because (a/an) mug is a typical example of things which are bright'. 
warm	neg	not_certain	icicle	perceptual	conceptnet	8bb5d48f-c5e3-4cc2-b8d9-4f4f1813dfb1	variability_open	You can find (a/an) icicle which is warm. (A/an) icicle is usually either warm, a bit more or less warm or the opposite of warm.	sharp	knife	solid	substance	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp, a bit more or less sharp or the opposite of sharp.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid, a bit more or less solid or the opposite of solid.
warm	neg	not_certain	icicle	perceptual	conceptnet	45320c10-6a00-4a94-bcb1-c25ada044ad7	variability_limited	You can find (a/an) icicle which is warm. (A/an) icicle is usually either warm or not warm. It cannot be a bit more or less warm.	solid	substance	soft	cushion	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.
warm	neg	not_certain	icicle	perceptual	conceptnet	e517342a-9613-4bb3-85b4-951eb72badf4	unusual	Usually, (a/an) icicle is not warm, but there could be a highly unusual situation in which (a/an) icicle is warm.	melting	clock	melting	ice cream	Usually, (a/an) clock is not melting, but there could be a highly unusual situation in which (a/an) clock is melting.	Usually, (a/an) ice cream is not melting, but there could be a highly unusual situation in which (a/an) ice cream is melting.
warm	neg	not_certain	icicle	perceptual	conceptnet	4157d2b8-0fb8-4ed8-a4e4-71f86a535305	impossible	I think it is impossible for (a/an) icicle to be warm.	solid	steam	orange	flame	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.
warm	neg	not_certain	icicle	perceptual	conceptnet	fbc6b2fd-ed78-4840-a491-d3b06d9f455c	rare	I think (a/an) icicle can be warm, but this is rare or uncommon.	spicy	cake	transparent	window	I think (a/an) cake can be spicy, but this is rare or uncommon.	I think (a/an) window can be transparent, but this is rare or uncommon.
warm	neg	not_certain	icicle	"perceptual_scale
perceptual_scale
perceptual_scale"	conceptnet	623274c9-a085-4722-94f7-dd5b21b23023	creative	I could say (a/an) icicle is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	not_certain	dad	perceptual	conceptnet	0a0a5de3-784a-4fc9-b748-2480c3b547b1	implied_category	I know that (a/an) dad is warm as most or all other things similar to (a/an) dad are warm. 	sweet	chocoloate_bar	white	dress	I know that (a/an) chocoloate_bar is sweet as most or all other things similar to (a/an) chocoloate_bar are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 
warm	neg	not_certain	dad	perceptual	conceptnet	be5eee43-8a80-448d-810c-e2881d8f66c6	affording_activity	I know that being warm is necessary for many things (a/an) dad does or is used for. 	sharp	razor	colorful	dress	I know that being sharp is necessary for many things (a/an) razor does or is used for. 	I know that being colorful is necessary for many things (a/an) dress does or is used for. 
warm	neg	not_certain	dad	perceptual	conceptnet	7a0defd3-70c2-4e6e-b7fd-dc2f45f7fa58	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``dad' because warm is one of the typical temperatures of (a/an) dad'.	spicy	chili_pepper	sweet	spinach	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.
warm	neg	not_certain	dad	perceptual	conceptnet	b46da813-bbf2-42b6-850e-1406375b1e27	typical_of_property	``Dad'' is one of the first things which come to mind when I hear ``warm' because (a/an) dad is a typical example of things which are warm'. 	small	mouse	small	dog	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 
warm	neg	not_certain	dad	perceptual	conceptnet	4e6d49e9-f3ca-4928-b426-c98ec37928ae	variability_open	You can find (a/an) dad which is warm. (A/an) dad is usually either warm, a bit more or less warm or the opposite of warm.	salty	soup	salty	strawberry	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.
warm	neg	not_certain	dad	perceptual	conceptnet	86b18710-e017-4867-bcee-4a6f8757b402	variability_limited	You can find (a/an) dad which is warm. (A/an) dad is usually either warm or not warm. It cannot be a bit more or less warm.	liquid	substance	sharp	knife	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.
warm	neg	not_certain	dad	perceptual	conceptnet	3421fba7-9ac6-4a07-8412-edf0d35c4d0e	unusual	Usually, (a/an) dad is not warm, but there could be a highly unusual situation in which (a/an) dad is warm.	melting	clock	melting	ice cream	Usually, (a/an) clock is not melting, but there could be a highly unusual situation in which (a/an) clock is melting.	Usually, (a/an) ice cream is not melting, but there could be a highly unusual situation in which (a/an) ice cream is melting.
warm	neg	not_certain	dad	perceptual	conceptnet	300bd67b-c989-4d75-b7d9-46999461478c	impossible	I think it is impossible for (a/an) dad to be warm.	dry	water	white	rose	I think it is impossible for (a/an) water to be dry.	I think it is impossible for (a/an) rose to be white.
warm	neg	not_certain	dad	perceptual	conceptnet	43f37f7d-4827-4a51-a9d3-0fab37a795dc	rare	I think (a/an) dad can be warm, but this is rare or uncommon.	sweet	pizza	savory	pizza	I think (a/an) pizza can be sweet, but this is rare or uncommon.	I think (a/an) pizza can be savory, but this is rare or uncommon.
warm	neg	not_certain	dad	"perceptual_scale
perceptual_scale
perceptual_scale"	conceptnet	2ae268ae-1d3e-48c1-a1f0-9ae015449b38	creative	I could say (a/an) dad is warm, but I would most certainly not mean it literally.	"hot
cold
dark"	"anger
person
story"	"hot
heavy
liquid"	"fire
stone
argument"	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."
warm	neg	not_certain	telephone	perceptual	conceptnet	5d608b7e-426b-4071-b5b3-a93161870e28	implied_category	I know that (a/an) telephone is warm as most or all other things similar to (a/an) telephone are warm. 	alcoholic	merlot	alcoholic	lemonade	I know that (a/an) merlot is alcoholic as most or all other things similar to (a/an) merlot are alcoholic. 	I know that (a/an) lemonade is alcoholic as most or all other things similar to (a/an) lemonade are alcoholic. 
warm	neg	not_certain	telephone	perceptual	conceptnet	d464e630-a1ce-4830-a4e5-29e21c5efec5	affording_activity	I know that being warm is necessary for many things (a/an) telephone does or is used for. 	bright	flashlight	grey	car	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 
warm	neg	not_certain	telephone	perceptual	conceptnet	6c9ae570-1210-4275-8ef7-16cb76e6162b	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``telephone' because warm is one of the typical temperatures of (a/an) telephone'.	bitter	coffee	salty	beer	``Bitter'' is one for the first things which come to mind when I hear ``coffee' because bitter is one of the typical tastes of (a/an) coffee'.	``Salty'' is one for the first things which come to mind when I hear ``beer' because salty is one of the typical tastes of (a/an) beer'.
warm	neg	not_certain	telephone	perceptual	conceptnet	5f2e0980-575d-469f-a6d9-016232fc7975	typical_of_property	``Telephone'' is one of the first things which come to mind when I hear ``warm' because (a/an) telephone is a typical example of things which are warm'. 	colorful	rainbow	white	dress	``Rainbow'' is one of the first things which come to mind when I hear ``colorful' because (a/an) rainbow is a typical example of things which are colorful'. 	``Dress'' is one of the first things which come to mind when I hear ``white' because (a/an) dress is a typical example of things which are white'. 
warm	neg	not_certain	telephone	perceptual	conceptnet	2cc6229a-1602-4c9c-a313-e90ada67e6ff	variability_open	You can find (a/an) telephone which is warm. (A/an) telephone is usually either warm, a bit more or less warm or the opposite of warm.	salty	soup	salty	strawberry	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.
warm	neg	not_certain	telephone	perceptual	conceptnet	e4f12468-fc03-47b4-b283-48624dc26162	variability_limited	You can find (a/an) telephone which is warm. (A/an) telephone is usually either warm or not warm. It cannot be a bit more or less warm.	solid	substance	soft	cushion	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.
warm	neg	not_certain	telephone	perceptual	conceptnet	a2f897c4-9eb3-4329-8fb3-a7f9646ba3a8	unusual	Usually, (a/an) telephone is not warm, but there could be a highly unusual situation in which (a/an) telephone is warm.	blue	pony	sharp	razor	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.
warm	neg	not_certain	telephone	perceptual	conceptnet	dc4dd7d1-d5c8-4c25-b5b5-c62f87377dbd	impossible	I think it is impossible for (a/an) telephone to be warm.	frozen	flame	light	book	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.
warm	neg	not_certain	telephone	perceptual	conceptnet	7a0140fd-516f-440c-9f95-60bec88a7585	rare	I think (a/an) telephone can be warm, but this is rare or uncommon.	salty	chocolate	salty	cherry	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.
