b86d4e68-651d-11ea-824c-acde48001122,"I think (a/an) breadcrumb can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b65da46a-651d-11ea-824c-acde48001122,"I think (a/an) blueberry can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-blueberry,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685cbac-651d-11ea-824c-acde48001122,"I could say (a/an) lewisia is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630e14-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) crypt to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b63d2-651d-11ea-824c-acde48001122,"I could say (a/an) chive is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b663050e-651d-11ea-824c-acde48001122,``Crypt'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630798-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``crypt''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6809bf0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) beet does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c1214-651d-11ea-824c-acde48001122,"Usually, (a/an) puree is not round, but there could be a highly unusual situation in which (a/an) puree is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c3fa-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``lewisia''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b59fa-651d-11ea-824c-acde48001122,You can find (a/an) chive which is round. Round is one of a few possible shapes (a/an) chive can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c103e-651d-11ea-824c-acde48001122,"I think (a/an) puree can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d4a58-651d-11ea-824c-acde48001122,You can find (a/an) breadcrumb which is round. Round is one of a few possible shapes (a/an) breadcrumb can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c099a-651d-11ea-824c-acde48001122,I know that (a/an) puree is round as most or all other things similar to (a/an) puree are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c616-651d-11ea-824c-acde48001122,You can find (a/an) lewisia which is red. Red is one of a few possible colors (a/an) lewisia can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b57fc-651d-11ea-824c-acde48001122,I know that (a/an) chive is round as most or all other things similar to (a/an) chive are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d502a-651d-11ea-824c-acde48001122,"Usually, (a/an) breadcrumb is not round, but there could be a highly unusual situation in which (a/an) breadcrumb is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c0b8e-651d-11ea-824c-acde48001122,You can find (a/an) puree which is round. Round is one of a few possible shapes (a/an) puree can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c2d8-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) lewisia does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d5200-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) breadcrumb to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685ca8a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) lewisia to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6809a7e-651d-11ea-824c-acde48001122,``Beet'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d4486-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) breadcrumb does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b5612-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``chive''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630ef0-651d-11ea-824c-acde48001122,"I could say (a/an) crypt is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c0580-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) puree does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630c0c-651d-11ea-824c-acde48001122,"I think (a/an) crypt can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c882-651d-11ea-824c-acde48001122,"I think (a/an) lewisia can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d41ca-651d-11ea-824c-acde48001122,``Breadcrumb'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c15b6-651d-11ea-824c-acde48001122,"I could say (a/an) puree is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c13fe-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) puree to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b8b34-651d-11ea-824c-acde48001122,``Crow'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c97c-651d-11ea-824c-acde48001122,"Usually, (a/an) lewisia is not red, but there could be a highly unusual situation in which (a/an) lewisia is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c756-651d-11ea-824c-acde48001122,You can find (a/an) lewisia which is red. Red is one of many possible colors (a/an) lewisia can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6809d08-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``beet''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630d10-651d-11ea-824c-acde48001122,"Usually, (a/an) crypt is not red, but there could be a highly unusual situation in which (a/an) crypt is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b5126-651d-11ea-824c-acde48001122,``Chive'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630ae0-651d-11ea-824c-acde48001122,You can find (a/an) crypt which is red. Red is one of many possible colors (a/an) crypt can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b65da6ea-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) blueberry to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-blueberry,https://app.prolific.co/submissions/complete?cc=3A43AF05
b680a05a-651d-11ea-824c-acde48001122,You can find (a/an) beet which is red. Red is one of many possible colors (a/an) beet can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66309aa-651d-11ea-824c-acde48001122,You can find (a/an) crypt which is red. Red is one of a few possible colors (a/an) crypt can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c116-651d-11ea-824c-acde48001122,``Lewisia'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d53c2-651d-11ea-824c-acde48001122,"I could say (a/an) breadcrumb is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b9304-651d-11ea-824c-acde48001122,"Usually, (a/an) crow is not red, but there could be a highly unusual situation in which (a/an) crow is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630892-651d-11ea-824c-acde48001122,I know that (a/an) crypt is red as most or all other things similar to (a/an) crypt are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b601c-651d-11ea-824c-acde48001122,"Usually, (a/an) chive is not round, but there could be a highly unusual situation in which (a/an) chive is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b90e8-651d-11ea-824c-acde48001122,You can find (a/an) crow which is red. Red is one of many possible colors (a/an) crow can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b65da7da-651d-11ea-824c-acde48001122,"I could say (a/an) blueberry is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-blueberry,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b9412-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) crow to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b8fb2-651d-11ea-824c-acde48001122,You can find (a/an) crow which is red. Red is one of a few possible colors (a/an) crow can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b8daa-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``crow''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
check2,I am working on a task in which I agree or disagree with statements.,Paris is a city.,Russia is a city.,3,1,_check-_check2-_check2,https://app.prolific.co/submissions/complete?cc=3A43AF05
test3,"In some situations, you will find chocolate which is white. White is one of a few possible options. ","In some situations, you will find a banana which is green. Green is one of a few possible options. ","In some situations, you will find a swan which is green. Green is one of a few possible options. ",3,1,test_true-_test3-_test3,https://app.prolific.co/submissions/complete?cc=3A43AF05
