b663af9a-651d-11ea-824c-acde48001122,"I think (a/an) cat can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b680e8a8-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) rhubarb does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b680ed12-651d-11ea-824c-acde48001122,You can find (a/an) rhubarb which is red. Red is one of many possible colors (a/an) rhubarb can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b680ebd2-651d-11ea-824c-acde48001122,You can find (a/an) rhubarb which is red. Red is one of a few possible colors (a/an) rhubarb can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b870b594-651d-11ea-824c-acde48001122,You can find (a/an) pumpkin which is round. Round is one of a few possible shapes (a/an) pumpkin can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b663a8a6-651d-11ea-824c-acde48001122,``Cat'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b870b7c4-651d-11ea-824c-acde48001122,You can find (a/an) pumpkin which is round. Round is one of many possible shapes (a/an) pumpkin can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f5066-651d-11ea-824c-acde48001122,"I think (a/an) gorilla can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
be50f118-651d-11ea-824c-acde48001122,"Usually, (a/an) crankshaft cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) crankshaft can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-crankshaft,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc132-651d-11ea-824c-acde48001122,I know that (a/an) aubergine is red as most or all other things similar to (a/an) aubergine are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b845850e-651d-11ea-824c-acde48001122,You can find (a/an) plunger which is round. Round is one of a few possible shapes (a/an) plunger can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b680ef24-651d-11ea-824c-acde48001122,"Usually, (a/an) rhubarb is not red, but there could be a highly unusual situation in which (a/an) rhubarb is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458982-651d-11ea-824c-acde48001122,"I think (a/an) plunger can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b870bbb6-651d-11ea-824c-acde48001122,"Usually, (a/an) pumpkin is not round, but there could be a highly unusual situation in which (a/an) pumpkin is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f4f3a-651d-11ea-824c-acde48001122,You can find (a/an) gorilla which is red. Red is one of many possible colors (a/an) gorilla can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc02e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``aubergine''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458f86-651d-11ea-824c-acde48001122,"I could say (a/an) plunger is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458306-651d-11ea-824c-acde48001122,I know that (a/an) plunger is round as most or all other things similar to (a/an) plunger are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b870af86-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) pumpkin does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b870b1b6-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``pumpkin''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f5156-651d-11ea-824c-acde48001122,"Usually, (a/an) gorilla is not red, but there could be a highly unusual situation in which (a/an) gorilla is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b663ae78-651d-11ea-824c-acde48001122,You can find (a/an) cat which is red. Red is one of many possible colors (a/an) cat can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b663ad38-651d-11ea-824c-acde48001122,You can find (a/an) cat which is red. Red is one of a few possible colors (a/an) cat can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b870bf6c-651d-11ea-824c-acde48001122,"I could say (a/an) pumpkin is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b854a980-651d-11ea-824c-acde48001122,"Usually, (a/an) salad is not round, but there could be a highly unusual situation in which (a/an) salad is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b8214536-651d-11ea-824c-acde48001122,You can find (a/an) ashtray which is round. Round is one of many possible shapes (a/an) ashtray can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f495e-651d-11ea-824c-acde48001122,``Gorilla'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b663b1a2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) cat to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc36c-651d-11ea-824c-acde48001122,You can find (a/an) aubergine which is red. Red is one of many possible colors (a/an) aubergine can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b870acac-651d-11ea-824c-acde48001122,``Pumpkin'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458b6c-651d-11ea-824c-acde48001122,"Usually, (a/an) plunger is not round, but there could be a highly unusual situation in which (a/an) plunger is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b8457c08-651d-11ea-824c-acde48001122,``Plunger'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b8213a6e-651d-11ea-824c-acde48001122,``Ashtray'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458da6-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) plunger to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b8549ea4-651d-11ea-824c-acde48001122,I know that (a/an) salad is round as most or all other things similar to (a/an) salad are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b870b396-651d-11ea-824c-acde48001122,I know that (a/an) pumpkin is round as most or all other things similar to (a/an) pumpkin are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b663aa0e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) cat does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f535e-651d-11ea-824c-acde48001122,"I could say (a/an) gorilla is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f5278-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) gorilla to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b870b9e0-651d-11ea-824c-acde48001122,"I think (a/an) pumpkin can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-pumpkin,https://app.prolific.co/submissions/complete?cc=16567E1F
b854988c-651d-11ea-824c-acde48001122,``Salad'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b8213d66-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) ashtray does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc236-651d-11ea-824c-acde48001122,You can find (a/an) aubergine which is red. Red is one of a few possible colors (a/an) aubergine can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b854acf0-651d-11ea-824c-acde48001122,"I could say (a/an) salad is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458752-651d-11ea-824c-acde48001122,You can find (a/an) plunger which is round. Round is one of many possible shapes (a/an) plunger can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b8458108-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``plunger''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b663b094-651d-11ea-824c-acde48001122,"Usually, (a/an) cat is not red, but there could be a highly unusual situation in which (a/an) cat is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b8214130-651d-11ea-824c-acde48001122,I know that (a/an) ashtray is round as most or all other things similar to (a/an) ashtray are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f4e04-651d-11ea-824c-acde48001122,You can find (a/an) gorilla which is red. Red is one of a few possible colors (a/an) gorilla can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b8214310-651d-11ea-824c-acde48001122,You can find (a/an) ashtray which is round. Round is one of a few possible shapes (a/an) ashtray can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b854ab42-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) salad to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fbdae-651d-11ea-824c-acde48001122,``Aubergine'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc498-651d-11ea-824c-acde48001122,"I think (a/an) aubergine can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f4ad0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) gorilla does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b8213f5a-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``ashtray''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-ashtray,https://app.prolific.co/submissions/complete?cc=16567E1F
b663ac34-651d-11ea-824c-acde48001122,I know that (a/an) cat is red as most or all other things similar to (a/an) cat are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b680e9c0-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``rhubarb''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b8549b0c-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) salad does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
