b65f6f70-651d-11ea-824c-acde48001122,"I think (a/an) artichoke can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f6e44-651d-11ea-824c-acde48001122,You can find (a/an) artichoke which is red. Red is one of many possible colors (a/an) artichoke can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b828060a-651d-11ea-824c-acde48001122,``Ball'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b36f0-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) garlic to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e54ea-651d-11ea-824c-acde48001122,You can find (a/an) pineapple which is red. Red is one of a few possible colors (a/an) pineapple can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c330c-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``lemon''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8681092-651d-11ea-824c-acde48001122,I know that (a/an) curd is round as most or all other things similar to (a/an) curd are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852b184-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) butter to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f6afc-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``artichoke''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852a004-651d-11ea-824c-acde48001122,You can find (a/an) butter which is round. Round is one of a few possible shapes (a/an) butter can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8681ad8-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) curd to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b86816d2-651d-11ea-824c-acde48001122,"I think (a/an) curd can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
be1ec26a-651d-11ea-824c-acde48001122,"Usually, (a/an) tyre cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tyre can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-tyre,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732c0e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) squirrel to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b82808b2-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) ball does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e5940-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) pineapple to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c34ce-651d-11ea-824c-acde48001122,I know that (a/an) lemon is round as most or all other things similar to (a/an) lemon are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852a446-651d-11ea-824c-acde48001122,You can find (a/an) butter which is round. Round is one of many possible shapes (a/an) butter can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c388e-651d-11ea-824c-acde48001122,You can find (a/an) lemon which is round. Round is one of many possible shapes (a/an) lemon can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b868127c-651d-11ea-824c-acde48001122,You can find (a/an) curd which is round. Round is one of a few possible shapes (a/an) curd can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f7074-651d-11ea-824c-acde48001122,"Usually, (a/an) artichoke is not red, but there could be a highly unusual situation in which (a/an) artichoke is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b67325a6-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``squirrel''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732b0a-651d-11ea-824c-acde48001122,"Usually, (a/an) squirrel is not red, but there could be a highly unusual situation in which (a/an) squirrel is red.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8680ea8-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``curd''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f7178-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) artichoke to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c2e5c-651d-11ea-824c-acde48001122,``Lemon'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852ad2e-651d-11ea-824c-acde48001122,"Usually, (a/an) butter is not round, but there could be a highly unusual situation in which (a/an) butter is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e53e6-651d-11ea-824c-acde48001122,I know that (a/an) pineapple is red as most or all other things similar to (a/an) pineapple are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8280ace-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``ball''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b2f5c-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) garlic does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8280cb8-651d-11ea-824c-acde48001122,I know that (a/an) ball is round as most or all other things similar to (a/an) ball are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b34de-651d-11ea-824c-acde48001122,"I think (a/an) garlic can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b85295b4-651d-11ea-824c-acde48001122,``Butter'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b3984-651d-11ea-824c-acde48001122,"I could say (a/an) garlic is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8681c9a-651d-11ea-824c-acde48001122,"I could say (a/an) curd is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b67327ae-651d-11ea-824c-acde48001122,You can find (a/an) squirrel which is red. Red is one of a few possible colors (a/an) squirrel can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f6872-651d-11ea-824c-acde48001122,``Artichoke'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b67326aa-651d-11ea-824c-acde48001122,I know that (a/an) squirrel is red as most or all other things similar to (a/an) squirrel are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e52e2-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``pineapple''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852a8f6-651d-11ea-824c-acde48001122,"I think (a/an) butter can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b86814b6-651d-11ea-824c-acde48001122,You can find (a/an) curd which is round. Round is one of many possible shapes (a/an) curd can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f6c0a-651d-11ea-824c-acde48001122,I know that (a/an) artichoke is red as most or all other things similar to (a/an) artichoke are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b2dea-651d-11ea-824c-acde48001122,``Garlic'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e583c-651d-11ea-824c-acde48001122,"Usually, (a/an) pineapple is not red, but there could be a highly unusual situation in which (a/an) pineapple is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e503a-651d-11ea-824c-acde48001122,``Pineapple'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
check4,I am answering questions at random. ,Trains are vehicles. ,Carrots are animals. ,3,1,_check-_check4-_check4,https://app.prolific.co/submissions/complete?cc=20E7DDCC
test3,"In some situations, you will find chocolate which is white. White is one of a few possible options. ","In some situations, you will find a banana which is green. Green is one of a few possible options. ","In some situations, you will find a swan which is green. Green is one of a few possible options. ",3,1,test_true-_test3-_test3,https://app.prolific.co/submissions/complete?cc=20E7DDCC
