b886514c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sausage to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b883302a-651d-11ea-824c-acde48001122,You can find (a/an) soursop which is round. Round is one of many possible shapes (a/an) soursop can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b68247a2-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) mamey does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b66f002a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) eye to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b66ef5f8-651d-11ea-824c-acde48001122,``Eye'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b66eff26-651d-11ea-824c-acde48001122,"Usually, (a/an) eye is not red, but there could be a highly unusual situation in which (a/an) eye is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864a3a-651d-11ea-824c-acde48001122,You can find (a/an) sausage which is round. Round is one of a few possible shapes (a/an) sausage can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864c24-651d-11ea-824c-acde48001122,You can find (a/an) sausage which is round. Round is one of many possible shapes (a/an) sausage can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b66efe36-651d-11ea-824c-acde48001122,"I think (a/an) eye can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b6824c0c-651d-11ea-824c-acde48001122,You can find (a/an) mamey which is red. Red is one of many possible colors (a/an) mamey can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cfa94-651d-11ea-824c-acde48001122,You can find (a/an) mango which is red. Red is one of many possible colors (a/an) mango can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b6824ad6-651d-11ea-824c-acde48001122,You can find (a/an) mamey which is red. Red is one of a few possible colors (a/an) mamey can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cf95e-651d-11ea-824c-acde48001122,You can find (a/an) mango which is red. Red is one of a few possible colors (a/an) mango can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b66ef88c-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``eye''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b8832c38-651d-11ea-824c-acde48001122,I know that (a/an) soursop is round as most or all other things similar to (a/an) soursop are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cf616-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) mango does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b6824f4a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) mamey to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c4270-651d-11ea-824c-acde48001122,"Usually, (a/an) chocolate is not red, but there could be a highly unusual situation in which (a/an) chocolate is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c3f1e-651d-11ea-824c-acde48001122,You can find (a/an) chocolate which is red. Red is one of a few possible colors (a/an) chocolate can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864e0e-651d-11ea-824c-acde48001122,"I think (a/an) sausage can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b6825030-651d-11ea-824c-acde48001122,"I could say (a/an) mamey is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c4180-651d-11ea-824c-acde48001122,"I think (a/an) chocolate can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c3c08-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) chocolate does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c4374-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) chocolate to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cf742-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``mango''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b68248c4-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``mamey''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b88325e4-651d-11ea-824c-acde48001122,``Soursop'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b88646ac-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``sausage''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cfde6-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) mango to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c4054-651d-11ea-824c-acde48001122,You can find (a/an) chocolate which is red. Red is one of many possible colors (a/an) chocolate can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b66f0110-651d-11ea-824c-acde48001122,"I could say (a/an) eye is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cfbc0-651d-11ea-824c-acde48001122,"I think (a/an) mango can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b8832e04-651d-11ea-824c-acde48001122,You can find (a/an) soursop which is round. Round is one of a few possible shapes (a/an) soursop can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ce6ca-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) banana does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864490-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) sausage does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b66efbd4-651d-11ea-824c-acde48001122,You can find (a/an) eye which is red. Red is one of a few possible colors (a/an) eye can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c3aa0-651d-11ea-824c-acde48001122,``Chocolate'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b88337a0-651d-11ea-824c-acde48001122,"I could say (a/an) soursop is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864f9e-651d-11ea-824c-acde48001122,"Usually, (a/an) sausage is not round, but there could be a highly unusual situation in which (a/an) sausage is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b66ef760-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) eye does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b8832a76-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``soursop''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b88333f4-651d-11ea-824c-acde48001122,"Usually, (a/an) soursop is not round, but there could be a highly unusual situation in which (a/an) soursop is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b6824e28-651d-11ea-824c-acde48001122,"Usually, (a/an) mamey is not red, but there could be a highly unusual situation in which (a/an) mamey is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b8864896-651d-11ea-824c-acde48001122,I know that (a/an) sausage is round as most or all other things similar to (a/an) sausage are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b88641de-651d-11ea-824c-acde48001122,``Sausage'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c3d20-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``chocolate''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ce3b4-651d-11ea-824c-acde48001122,``Banana'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c445a-651d-11ea-824c-acde48001122,"I could say (a/an) chocolate is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b8833232-651d-11ea-824c-acde48001122,"I think (a/an) soursop can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cf850-651d-11ea-824c-acde48001122,I know that (a/an) mango is red as most or all other things similar to (a/an) mango are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b66efd0a-651d-11ea-824c-acde48001122,You can find (a/an) eye which is red. Red is one of many possible colors (a/an) eye can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ceca6-651d-11ea-824c-acde48001122,You can find (a/an) banana which is round. Round is one of a few possible shapes (a/an) banana can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b682463a-651d-11ea-824c-acde48001122,``Mamey'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68249c8-651d-11ea-824c-acde48001122,I know that (a/an) mamey is red as most or all other things similar to (a/an) mamey are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ceac6-651d-11ea-824c-acde48001122,I know that (a/an) banana is round as most or all other things similar to (a/an) banana are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cfecc-651d-11ea-824c-acde48001122,"I could say (a/an) mango is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,_check-_check1-_check1,https://app.prolific.co/submissions/complete?cc=46F8278C
test2,"""Blue"" is one of the first things which come to mind when I hear ""beer"". ","""Red"" is one of the first things which come to mind when I hear ""blood"".","""Grey"" is one of the first things which come to mind when I hear ""fire"".",3,1,test_false-_test2-_test2,https://app.prolific.co/submissions/complete?cc=46F8278C
