b858ccae-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``gourd''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a8366-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) wheel to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b65d56c2-651d-11ea-824c-acde48001122,"I think (a/an) carrot can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-carrot,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e3ab8-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``barn''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b691b99e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``milk''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b6845efc-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``vine''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b672802e-651d-11ea-824c-acde48001122,I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b858c81c-651d-11ea-824c-acde48001122,``Gourd'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b691b6ec-651d-11ea-824c-acde48001122,``Milk'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a78bc-651d-11ea-824c-acde48001122,I know that (a/an) wheel is round as most or all other things similar to (a/an) wheel are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b65d5a32-651d-11ea-824c-acde48001122,"I could say (a/an) carrot is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-carrot,https://app.prolific.co/submissions/complete?cc=2A629CED
b691b872-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) milk does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b6728146-651d-11ea-824c-acde48001122,You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d1fe-651d-11ea-824c-acde48001122,You can find (a/an) gourd which is round. Round is one of a few possible shapes (a/an) gourd can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ac5b2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) fondant to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b684614a-651d-11ea-824c-acde48001122,You can find (a/an) vine which is red. Red is one of a few possible colors (a/an) vine can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b684664a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) vine to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b691bf2a-651d-11ea-824c-acde48001122,"Usually, (a/an) milk is not red, but there could be a highly unusual situation in which (a/an) milk is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b65d5816-651d-11ea-824c-acde48001122,"Usually, (a/an) carrot is not red, but there could be a highly unusual situation in which (a/an) carrot is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-carrot,https://app.prolific.co/submissions/complete?cc=2A629CED
b6727c32-651d-11ea-824c-acde48001122,``Wine'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b6845c2c-651d-11ea-824c-acde48001122,``Vine'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e3978-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) barn does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a71be-651d-11ea-824c-acde48001122,``Wheel'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e3cfc-651d-11ea-824c-acde48001122,You can find (a/an) barn which is red. Red is one of a few possible colors (a/an) barn can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b684650a-651d-11ea-824c-acde48001122,"Usually, (a/an) vine is not red, but there could be a highly unusual situation in which (a/an) vine is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b67287fe-651d-11ea-824c-acde48001122,"I could say (a/an) wine is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b672870e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) wine to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b65d5942-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) carrot to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-carrot,https://app.prolific.co/submissions/complete?cc=2A629CED
b6727dfe-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) wine does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a7f7e-651d-11ea-824c-acde48001122,"I think (a/an) wheel can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d014-651d-11ea-824c-acde48001122,I know that (a/an) gourd is round as most or all other things similar to (a/an) gourd are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
be644880-651d-11ea-824c-acde48001122,"Usually, (a/an) wiffle cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) wiffle can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-wiffle,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d42e-651d-11ea-824c-acde48001122,You can find (a/an) gourd which is round. Round is one of many possible shapes (a/an) gourd can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b691bce6-651d-11ea-824c-acde48001122,You can find (a/an) milk which is red. Red is one of many possible colors (a/an) milk can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
be4dbf5c-651d-11ea-824c-acde48001122,"Usually, (a/an) piston cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) piston can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-piston,https://app.prolific.co/submissions/complete?cc=2A629CED
b684601e-651d-11ea-824c-acde48001122,I know that (a/an) vine is red as most or all other things similar to (a/an) vine are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b68463f2-651d-11ea-824c-acde48001122,"I think (a/an) vine can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ac238-651d-11ea-824c-acde48001122,"I think (a/an) fondant can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b858dba4-651d-11ea-824c-acde48001122,"I could say (a/an) gourd is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ac74c-651d-11ea-824c-acde48001122,"I could say (a/an) fondant is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b691c11e-651d-11ea-824c-acde48001122,"I could say (a/an) milk is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a8532-651d-11ea-824c-acde48001122,"I could say (a/an) wheel is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b86abff4-651d-11ea-824c-acde48001122,You can find (a/an) fondant which is round. Round is one of many possible shapes (a/an) fondant can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a7ac4-651d-11ea-824c-acde48001122,You can find (a/an) wheel which is round. Round is one of a few possible shapes (a/an) wheel can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ab89c-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) fondant does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d9e2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) gourd to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a7d08-651d-11ea-824c-acde48001122,You can find (a/an) wheel which is round. Round is one of many possible shapes (a/an) wheel can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b86abc2a-651d-11ea-824c-acde48001122,I know that (a/an) fondant is round as most or all other things similar to (a/an) fondant are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b858caba-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) gourd does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b6845db2-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) vine does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
be240982-651d-11ea-824c-acde48001122,"Usually, (a/an) gearshift cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) gearshift can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-gearshift,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e3e5a-651d-11ea-824c-acde48001122,You can find (a/an) barn which is red. Red is one of many possible colors (a/an) barn can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b691c02e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) milk to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e3bd0-651d-11ea-824c-acde48001122,I know that (a/an) barn is red as most or all other things similar to (a/an) barn are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b691baa2-651d-11ea-824c-acde48001122,I know that (a/an) milk is red as most or all other things similar to (a/an) milk are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b67e37f2-651d-11ea-824c-acde48001122,``Barn'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-barn,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a74a2-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) wheel does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b86aba68-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``fondant''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b67282b8-651d-11ea-824c-acde48001122,You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b86abdec-651d-11ea-824c-acde48001122,You can find (a/an) fondant which is round. Round is one of a few possible shapes (a/an) fondant can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a8168-651d-11ea-824c-acde48001122,"Usually, (a/an) wheel is not round, but there could be a highly unusual situation in which (a/an) wheel is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d80c-651d-11ea-824c-acde48001122,"Usually, (a/an) gourd is not round, but there could be a highly unusual situation in which (a/an) gourd is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b68462a8-651d-11ea-824c-acde48001122,You can find (a/an) vine which is red. Red is one of many possible colors (a/an) vine can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
check2,I am working on a task in which I agree or disagree with statements.,Paris is a city.,Russia is a city.,3,1,_check-_check2-_check2,https://app.prolific.co/submissions/complete?cc=2A629CED
test2,"""Blue"" is one of the first things which come to mind when I hear ""beer"". ","""Red"" is one of the first things which come to mind when I hear ""blood"".","""Grey"" is one of the first things which come to mind when I hear ""fire"".",3,1,test_false-_test2-_test2,https://app.prolific.co/submissions/complete?cc=2A629CED
