b690fe8c-651d-11ea-824c-acde48001122,``Marinade'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910210-651d-11ea-824c-acde48001122,I know that (a/an) marinade is red as most or all other things similar to (a/an) marinade are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
be6e5a00-651d-11ea-824c-acde48001122,"Usually, (a/an) headstock cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) headstock can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-headstock,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910116-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``marinade''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a7a02-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) tortilla does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737d6c-651d-11ea-824c-acde48001122,"Usually, (a/an) jam is not red, but there could be a highly unusual situation in which (a/an) jam is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e5b50-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) fruit to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819fab0-651d-11ea-824c-acde48001122,You can find (a/an) bedroom which is round. Round is one of a few possible shapes (a/an) bedroom can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a8614-651d-11ea-824c-acde48001122,"I think (a/an) tortilla can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910666-651d-11ea-824c-acde48001122,"Usually, (a/an) marinade is not red, but there could be a highly unusual situation in which (a/an) marinade is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a87d6-651d-11ea-824c-acde48001122,"Usually, (a/an) tortilla is not round, but there could be a highly unusual situation in which (a/an) tortilla is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81f972c-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) tart does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e5c36-651d-11ea-824c-acde48001122,"I could say (a/an) fruit is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b673757e-651d-11ea-824c-acde48001122,``Jam'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
be77c9f0-651d-11ea-824c-acde48001122,"Usually, (a/an) ferrule cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) ferrule can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-ferrule,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e55ce-651d-11ea-824c-acde48001122,I know that (a/an) fruit is red as most or all other things similar to (a/an) fruit are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1f16-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) spinach to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b67376e6-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) jam does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819fed4-651d-11ea-824c-acde48001122,"I think (a/an) bedroom can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e56d2-651d-11ea-824c-acde48001122,You can find (a/an) fruit which is red. Red is one of a few possible colors (a/an) fruit can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fb022-651d-11ea-824c-acde48001122,You can find (a/an) tart which is round. Round is one of a few possible shapes (a/an) tart can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fbb9e-651d-11ea-824c-acde48001122,"I could say (a/an) tart is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81a006e-651d-11ea-824c-acde48001122,"Usually, (a/an) bedroom is not round, but there could be a highly unusual situation in which (a/an) bedroom is round.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910878-651d-11ea-824c-acde48001122,"I could say (a/an) marinade is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a8132-651d-11ea-824c-acde48001122,You can find (a/an) tortilla which is round. Round is one of a few possible shapes (a/an) tortilla can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1bf6-651d-11ea-824c-acde48001122,You can find (a/an) spinach which is red. Red is one of many possible colors (a/an) spinach can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a83da-651d-11ea-824c-acde48001122,You can find (a/an) tortilla which is round. Round is one of many possible shapes (a/an) tortilla can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fb55e-651d-11ea-824c-acde48001122,"I think (a/an) tart can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910576-651d-11ea-824c-acde48001122,"I think (a/an) marinade can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1796-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) spinach does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737b50-651d-11ea-824c-acde48001122,You can find (a/an) jam which is red. Red is one of many possible colors (a/an) jam can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819f56a-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) bedroom does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a8b28-651d-11ea-824c-acde48001122,"I could say (a/an) tortilla is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737c7c-651d-11ea-824c-acde48001122,"I think (a/an) jam can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e5a42-651d-11ea-824c-acde48001122,"Usually, (a/an) fruit is not red, but there could be a highly unusual situation in which (a/an) fruit is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
be650d88-651d-11ea-824c-acde48001122,"Usually, (a/an) crosshead cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) crosshead can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-crosshead,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737e8e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) jam to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6910792-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) marinade to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81f920e-651d-11ea-824c-acde48001122,``Tart'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
be517e1c-651d-11ea-824c-acde48001122,"Usually, (a/an) shaft cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shaft can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-shaft,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e54ca-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``fruit''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a7728-651d-11ea-824c-acde48001122,``Tortilla'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f19bc-651d-11ea-824c-acde48001122,I know that (a/an) spinach is red as most or all other things similar to (a/an) spinach are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a7e08-651d-11ea-824c-acde48001122,I know that (a/an) tortilla is round as most or all other things similar to (a/an) tortilla are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a7bec-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``tortilla''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1d22-651d-11ea-824c-acde48001122,"I think (a/an) spinach can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fac8a-651d-11ea-824c-acde48001122,I know that (a/an) tart is round as most or all other things similar to (a/an) tart are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b691044a-651d-11ea-824c-acde48001122,You can find (a/an) marinade which is red. Red is one of many possible colors (a/an) marinade can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
be238322-651d-11ea-824c-acde48001122,"Usually, (a/an) carabiner cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) carabiner can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-carabiner,https://app.prolific.co/submissions/complete?cc=3D8B8251
be6e1b44-651d-11ea-824c-acde48001122,"Usually, (a/an) plaster cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) plaster can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-plaster,https://app.prolific.co/submissions/complete?cc=3D8B8251
be640c1c-651d-11ea-824c-acde48001122,"Usually, (a/an) glass cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) glass can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-glass,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81a021c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) bedroom to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e5808-651d-11ea-824c-acde48001122,You can find (a/an) fruit which is red. Red is one of many possible colors (a/an) fruit can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fb928-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) tart to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819f768-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``bedroom''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fa9ba-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``tart''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b691031e-651d-11ea-824c-acde48001122,You can find (a/an) marinade which is red. Red is one of a few possible colors (a/an) marinade can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b690fff4-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) marinade does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f2006-651d-11ea-824c-acde48001122,"I could say (a/an) spinach is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e5934-651d-11ea-824c-acde48001122,"I think (a/an) fruit can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1ac0-651d-11ea-824c-acde48001122,You can find (a/an) spinach which is red. Red is one of a few possible colors (a/an) spinach can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737a1a-651d-11ea-824c-acde48001122,You can find (a/an) jam which is red. Red is one of a few possible colors (a/an) jam can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
