089faedc-33e9-47a7-ac3c-ea87a421df5e,I know that all or most grindstone(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_usual-roll-grindstone
1191d3ea-32e2-4f2a-93ca-06f3dff01f7c,"I could say ``(a/an) grindstone rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,creative-roll-grindstone
805f8e42-37a7-48f1-bd92-8050092474ac,"I think there is a hubcap  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,rare-roll-hubcap
a1ddce62-a442-4a1d-a4f4-6c301f175a88,You can find (a/an) radiator which can roll/be used for rolling. This distinguishes a certain type of radiator from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_limited-roll-radiator
fd16e478-caba-4ff1-a1b0-6dfa4a9f6198,I think it is impossible for (a/an) chimney to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,impossible-roll-chimney
83c58094-fad4-4b28-84ec-70baa179ccd4,``Grindstone'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_property-roll-grindstone
0e9f6451-54f6-4535-b109-b465593455e0,``Roll'' is one for the first things which come to mind when I hear ``radiator''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_concept-roll-radiator
56d40f0b-bb6c-429d-a769-0f0fd8d8abc6,``Roll'' is one for the first things which come to mind when I hear ``grindstone''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_concept-roll-grindstone
fa799e09-a766-4535-9a28-dfcea28dac16,I know that being red is necessary for many things (a/an) apple does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,affording_activity-red-apple
059c92c3-c289-4957-bad8-3285f3df078d,``Chimney'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_property-roll-chimney
ef870657-0e0a-42be-8374-084bba8a01e2,I know that all or most hubcap(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_usual-roll-hubcap
255863eb-5d83-412a-ab53-32ca176b4877,"I could say ``(a/an) radiator rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,creative-roll-radiator
863f91c7-2353-40c4-8fff-c0a4abfb5991,You can find (a/an) chimney which can roll/be used for rolling. This distinguishes a certain type of chimney from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_limited-roll-chimney
bf0996df-83cf-4b27-9089-b09a32ab3490,"I think there is a chimney  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,rare-roll-chimney
934b8841-8564-4947-aec0-d7ecf103adb7,``Hubcap'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_property-roll-hubcap
3ef16d76-cb16-4605-b558-729a825b292c,You can find (a/an) grindstone which can roll/be used for rolling. This distinguishes a certain type of grindstone from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_limited-roll-grindstone
dd7452ea-4e4c-4b6a-b9fc-cac988f45cf8,I think it is impossible for (a/an) grindstone to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,impossible-roll-grindstone
a9156f0e-d6a0-4865-bc48-99985900005d,I know that (a/an) radiator can roll/be used for rolling as most or all other things similar to (a/an) radiator roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,implied_category-roll-radiator
1605abde-5d84-437b-9e3e-1054a7eb23c6,"I could say ``(a/an) chimney rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,creative-roll-chimney
09db01b0-fb30-4f15-9ddb-9ffb6e8e5cb7,You can find (a/an) grindstone which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_unusual-roll-grindstone
c5c38236-1157-4845-9664-47ec2214d9e2,"I could say ``(a/an) hubcap rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,creative-roll-hubcap
8b984f41-15d9-4ce4-8c3b-610424b3da0d,You can find (a/an) apple which is red. Red is one of many possible colors (a/an) apple can have. The range of colors is almost unlimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost unlimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost unlimited. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_open-red-apple
38d7db96-586d-42b9-a1b4-8cfdad3e4226,You can find (a/an) hubcap which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_unusual-roll-hubcap
b629c8d6-7a82-4925-99e4-11edbd138ad4,You can find (a/an) radiator which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_unusual-roll-radiator
1c22ff1e-bb97-43cf-bc2f-982013cf6142,I know that (a/an) chimney can roll/be used for rolling as most or all other things similar to (a/an) chimney roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,implied_category-roll-chimney
fbd9343c-164d-4c2b-bb7b-7bdeb329daac,I think it is impossible for (a/an) hubcap to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,impossible-roll-hubcap
5cd6b3bd-4d7b-4d2f-9e39-26dfad4be23b,``Roll'' is one for the first things which come to mind when I hear ``hubcap''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_concept-roll-hubcap
331bb57c-f90b-4be6-9e19-48669927438b,You can find (a/an) chimney which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_unusual-roll-chimney
154abdd6-b696-45ff-b15e-914eb7c82f06,``Radiator'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_property-roll-radiator
fe90f59b-7069-43cb-8173-83195c1f3a66,``Red'' is one for the first things which come to mind when I hear ``apple''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_concept-red-apple
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,_check-_check1-_check1
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,test_true-_test1-_test1
