c37f7bc0-4623-4138-bbfb-5a1aa55354a0,"I think (a/an) recorder can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-red-recorder
0d5aa7dc-89ae-4e6c-b305-e214bf4e07fb,I think it is impossible for (a/an) skateboard to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-roll-skateboard
cbbb5f41-1e60-4962-b085-bcef263cb229,"I think there is a skateboard  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-roll-skateboard
a3243648-e834-4bb6-aaa6-b45d615f35ee,``Roll'' is one for the first things which come to mind when I hear ``skateboard''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-roll-skateboard
9ca4b4a1-950b-480f-85c3-86166859acc8,I know that all or most skateboard(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_usual-roll-skateboard
0f4d6fa3-73b5-4115-b8ed-57bb023aaed5,You can find (a/an) skateboard which can roll/be used for rolling. This distinguishes a certain type of skateboard from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-roll-skateboard
aae0a0b8-0263-49d4-8be1-3a78554a6184,``Skateboard'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-roll-skateboard
b504126a-0111-4bbf-aea5-3ac6ca9bab4a,"I could say ``(a/an) skateboard rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-roll-skateboard
833899a8-2f0e-4618-954b-9ed9e6404f47,I know that (a/an) skateboard can roll/be used for rolling as most or all other things similar to (a/an) skateboard roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-roll-skateboard
c5dc7a3b-7317-48a0-8dc2-5acef53064bf,``Cube'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-round-cube
92be5aeb-8d0d-4eda-9136-4d45d8e3b50b,I know that (a/an) cube is round as most or all other things similar to (a/an) cube are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-round-cube
66443777-3e93-435a-a8c9-3c664c09199f,I think it is impossible for (a/an) cube to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-round-cube
192f2344-bd09-49af-89f3-fcf3f36ad65e,You can find (a/an) cube which is round. Round is one of a few possible shapes (a/an) cube can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-round-cube
79970f0b-afe3-4103-b255-249397094892,``Round'' is one for the first things which come to mind when I hear ``cube''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-round-cube
b79905fa-e20b-4aae-a621-1c86cb5dca8f,I know that being round is necessary for many things (a/an) cube does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,affording_activity-round-cube
78cec8c3-41d4-4e2d-83dd-6fe900a5fffb,"I could say ``(a/an) cube is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-round-cube
6a5ba457-ad50-4c4b-859b-1b13670454c5,"I think (a/an) cube can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-round-cube
e7790dc0-fb4c-460e-a461-4432bb284094,"Usually, (a/an) cube is not round, but there could be a highly unusual situation in which (a/an) cube is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-round-cube
a3b62ca0-b1d9-495b-85d4-551638b75bb1,You can find (a/an) cube which is round. Round is one of many possible shapes (a/an) cube can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_open-round-cube
7d14c6c2-07cc-41e9-bc09-bc6bd5581ac2,I know that being round is necessary for many things (a/an) blueberry does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,affording_activity-round-blueberry
f80984bf-a0f8-4f80-83e6-b35e94865342,You can find (a/an) blueberry which is round. Round is one of many possible shapes (a/an) blueberry can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_open-round-blueberry
ffa13c32-302b-411a-93d7-830b0ed405b4,I know that (a/an) blueberry is round as most or all other things similar to (a/an) blueberry are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-round-blueberry
d74f97df-51a6-412e-8239-69bd27768d13,``Round'' is one for the first things which come to mind when I hear ``blueberry''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-round-blueberry
87e30b28-c9ad-4d17-84af-ef131e52e230,``Blueberry'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-round-blueberry
e0ac0278-90d6-454c-b691-1a629a9efbba,You can find (a/an) blueberry which is round. Round is one of a few possible shapes (a/an) blueberry can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-round-blueberry
f98ba15b-0441-4cde-925b-c9cc5a34fe27,``Fusee'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-roll-fusee
83430008-8ba0-427c-b45a-5ef668a8d49d,You can find (a/an) fusee which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_unusual-roll-fusee
d2d04eb4-f4a8-4e52-86c7-65b740da79e2,"I think there is a fusee  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-roll-fusee
bb46aeb6-2994-47ad-8a4d-71d4605354f9,"I could say ``(a/an) fusee rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-roll-fusee
a9af0441-9764-42dd-b4f5-84fc9e879cfb,I know that all or most fusee(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_usual-roll-fusee
00a4ae9d-f37b-446d-9880-6b624f00d7bd,I know that (a/an) fusee can roll/be used for rolling as most or all other things similar to (a/an) fusee roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-roll-fusee
f6e40294-5fd7-4e44-ac6b-cdf7fd13be1f,``Roll'' is one for the first things which come to mind when I hear ``fusee''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-roll-fusee
be6d6500-651d-11ea-824c-acde48001122,"Usually, (a/an) fusee cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) fusee can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-roll-fusee
14217fd9-f3b2-44e1-be93-6ddbce54515b,You can find (a/an) fusee which can roll/be used for rolling. This distinguishes a certain type of fusee from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-roll-fusee
89fbb417-09c6-4d6e-b066-848fbb2d3c31,I think it is impossible for (a/an) fusee to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-roll-fusee
6137f041-b579-41f7-b9c1-8cc629b21d87,You can find (a/an) brake which can roll/be used for rolling. This distinguishes a certain type of brake from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-roll-brake
6dfc23ed-85da-47d3-9687-e2c6f23c3459,I know that all or most brake(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_usual-roll-brake
0ac51771-3b58-4432-9cbc-1b9fcac76885,I know that (a/an) brake can roll/be used for rolling as most or all other things similar to (a/an) brake roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-roll-brake
2acc5cb3-c331-464e-b2db-8dc2a76a3ac8,I think it is impossible for (a/an) brake to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-roll-brake
ad895d49-5bb3-4ed9-80b7-ea460b095c90,"I think there is a brake  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-roll-brake
3caf1eab-f995-4f15-bb85-19b5ee7d903d,You can find (a/an) brake which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,afforded_unusual-roll-brake
d56815e1-327e-400e-9ed0-e9ac9dc4a254,"I could say ``(a/an) brake rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-roll-brake
252f576f-31e1-4f5d-a65b-699b6f5b9eac,``Brake'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-roll-brake
0db54f96-07e3-46c9-a9b0-3818f1397446,``Roll'' is one for the first things which come to mind when I hear ``brake''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-roll-brake
c5c41cf6-f67d-4c97-a32e-7bf521a67291,"Usually, (a/an) brake cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) brake can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-roll-brake
400fac42-6512-4159-a420-a1203cdc1d61,"I think (a/an) marshmallow can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-round-marshmallow
9df2ece2-3498-4a76-8d9c-2474ab868250,``Marshmallow'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-round-marshmallow
0eec586a-d53f-4301-ad2e-49827c054ac6,"I could say ``(a/an) marshmallow is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-round-marshmallow
72de53c9-c21e-46db-b91a-d9dc1b258817,"Usually, (a/an) marshmallow is not round, but there could be a highly unusual situation in which (a/an) marshmallow is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-round-marshmallow
0fe307f6-e99a-46c5-9ccb-37b10bab1d62,I know that being round is necessary for many things (a/an) marshmallow does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,affording_activity-round-marshmallow
00351644-50cc-4e37-bf49-a74f4297d62e,``Round'' is one for the first things which come to mind when I hear ``marshmallow''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-round-marshmallow
300a77c7-2b48-4747-878c-ac6c021f508e,You can find (a/an) marshmallow which is round. Round is one of many possible shapes (a/an) marshmallow can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_open-round-marshmallow
980ad590-a21b-4c92-abc1-a284e3748f40,I know that (a/an) marshmallow is round as most or all other things similar to (a/an) marshmallow are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,implied_category-round-marshmallow
7bcfda23-2b52-4667-960a-baa8d3791180,You can find (a/an) marshmallow which is round. Round is one of a few possible shapes (a/an) marshmallow can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-round-marshmallow
0e3eef57-c9c8-4f59-a725-d46b2498c3ce,I think it is impossible for (a/an) marshmallow to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-round-marshmallow
5d1cb83c-a45b-4e30-b729-1ed431f8a55f,I think it is impossible for (a/an) surfboard to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,impossible-roll-surfboard
d6d2ab37-0bcf-41e4-8001-f43f94ac638f,"I think there is a surfboard  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,rare-roll-surfboard
62a6152a-57ad-4a91-a463-5dd79ccb46db,"I could say ``(a/an) surfboard rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,creative-roll-surfboard
9cde5e8d-a32e-4b6d-bed8-d748083ba392,``Roll'' is one for the first things which come to mind when I hear ``surfboard''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_concept-roll-surfboard
be4de75c-651d-11ea-824c-acde48001122,"Usually, (a/an) surfboard cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) surfboard can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=675B6740,unusual-roll-surfboard
f54741d9-4d7f-4ee8-8274-65c60d2f2bcb,You can find (a/an) surfboard which can roll/be used for rolling. This distinguishes a certain type of surfboard from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,variability_limited-roll-surfboard
64988b23-eb6d-4b89-acf6-6fd0000f8110,``Surfboard'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=675B6740,typical_of_property-roll-surfboard
