b67ef49e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) carnation does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b69210b0-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``cinnamon''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b67efee4-651d-11ea-824c-acde48001122,"I think (a/an) carnation can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b67f02e0-651d-11ea-824c-acde48001122,"I could say (a/an) carnation is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff52a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``olive''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b84abb5a-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``juice''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b853fbb6-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) onion does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b66d2ba6-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``chameleon''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b66067e0-651d-11ea-824c-acde48001122,I know that (a/an) ring is red as most or all other things similar to (a/an) ring are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b8540d9a-651d-11ea-824c-acde48001122,"I think (a/an) onion can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b81c993c-651d-11ea-824c-acde48001122,I know that (a/an) candle is round as most or all other things similar to (a/an) candle are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b66d3006-651d-11ea-824c-acde48001122,"I think (a/an) chameleon can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b66ffbb0-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) olive to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff624-651d-11ea-824c-acde48001122,I know that (a/an) olive is red as most or all other things similar to (a/an) olive are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b853f508-651d-11ea-824c-acde48001122,``Onion'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b67f004c-651d-11ea-824c-acde48001122,"Usually, (a/an) carnation is not red, but there could be a highly unusual situation in which (a/an) carnation is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b67efba6-651d-11ea-824c-acde48001122,You can find (a/an) carnation which is red. Red is one of many possible colors (a/an) carnation can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff9bc-651d-11ea-824c-acde48001122,"I think (a/an) olive can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff296-651d-11ea-824c-acde48001122,``Olive'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b6921830-651d-11ea-824c-acde48001122,"I could say (a/an) cinnamon is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b84abd4e-651d-11ea-824c-acde48001122,I know that (a/an) juice is round as most or all other things similar to (a/an) juice are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b6606448-651d-11ea-824c-acde48001122,``Ring'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b6606e20-651d-11ea-824c-acde48001122,"I could say (a/an) ring is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b6920dfe-651d-11ea-824c-acde48001122,``Cinnamon'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b67ef71e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``carnation''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b67ef32c-651d-11ea-824c-acde48001122,``Carnation'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b67ef94e-651d-11ea-824c-acde48001122,You can find (a/an) carnation which is red. Red is one of a few possible colors (a/an) carnation can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b81c92fc-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) candle does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac7da-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) juice to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b6606c36-651d-11ea-824c-acde48001122,"Usually, (a/an) ring is not red, but there could be a highly unusual situation in which (a/an) ring is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b8540f34-651d-11ea-824c-acde48001122,"Usually, (a/an) onion is not round, but there could be a highly unusual situation in which (a/an) onion is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b66d2caa-651d-11ea-824c-acde48001122,I know that (a/an) chameleon is red as most or all other things similar to (a/an) chameleon are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b6921524-651d-11ea-824c-acde48001122,"I think (a/an) cinnamon can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b81c9036-651d-11ea-824c-acde48001122,``Candle'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b81c9b3a-651d-11ea-824c-acde48001122,You can find (a/an) candle which is round. Round is one of a few possible shapes (a/an) candle can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b692163c-651d-11ea-824c-acde48001122,"Usually, (a/an) cinnamon is not red, but there could be a highly unusual situation in which (a/an) cinnamon is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b854125e-651d-11ea-824c-acde48001122,"I could say (a/an) onion is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac9c4-651d-11ea-824c-acde48001122,"I could say (a/an) juice is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b67f0182-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) carnation to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff732-651d-11ea-824c-acde48001122,You can find (a/an) olive which is red. Red is one of a few possible colors (a/an) olive can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b66d2db8-651d-11ea-824c-acde48001122,You can find (a/an) chameleon which is red. Red is one of a few possible colors (a/an) chameleon can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
be472e3a-651d-11ea-824c-acde48001122,"Usually, (a/an) handrail cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) handrail can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-handrail,https://app.prolific.co/submissions/complete?cc=4119571E
