6ad120b1-1beb-48ce-a40d-d010fa442d65,``Red'' is one for the first things which come to mind when I hear ``watermelon''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-red-watermelon
58dc088b-1c32-4bc0-ba69-8d8245ef8578,I know that all or most shovel(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-shovel
07fc4c85-7d48-440b-a90a-7db572d3c979,``Roll'' is one for the first things which come to mind when I hear ``shovel''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-shovel
f182f67c-7690-45c1-aefb-fe719b52736a,"I think there is a shovel  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-shovel
22f9f699-e680-4ecb-a4dd-c07443d76436,I know that (a/an) shovel can roll/be used for rolling as most or all other things similar to (a/an) shovel roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-shovel
be5fdca0-651d-11ea-824c-acde48001122,"Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-shovel
9f60a663-cb5b-422a-b838-c229a2bbf1de,You can find (a/an) shovel which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-shovel
75b8adb9-2a9d-458a-8da5-8d4748a7dbd9,``Shovel'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-shovel
bba2159b-d0ee-4f71-a777-6f66f0d8924b,I think it is impossible for (a/an) shovel to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-shovel
ca988960-1045-4d18-baf4-549d9a78acda,You can find (a/an) shovel which can roll/be used for rolling. This distinguishes a certain type of shovel from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-shovel
a8ad114d-72f5-4c74-8429-46eeaeed348e,"I could say ``(a/an) gearshift rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-gearshift
c11cd564-b0dd-4911-b84d-f1f26f57c82d,I know that all or most gearshift(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-gearshift
051b1b6e-b00b-4989-8b49-6ad0035e1c8a,You can find (a/an) gearshift which can roll/be used for rolling. This distinguishes a certain type of gearshift from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-gearshift
be240982-651d-11ea-824c-acde48001122,"Usually, (a/an) gearshift cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) gearshift can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-gearshift
f70c1bf3-f34f-4a68-bf22-e8d0af01189d,I know that (a/an) gearshift can roll/be used for rolling as most or all other things similar to (a/an) gearshift roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-gearshift
121a211c-74dd-4815-967a-37268bf5ebb5,You can find (a/an) gearshift which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-gearshift
3fc6f559-9e69-4859-b684-44946e6b9510,``Roll'' is one for the first things which come to mind when I hear ``gearshift''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-gearshift
e93156b5-a722-4faa-84db-8488d17f0588,"I think there is a gearshift  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-gearshift
df8986b3-98b8-471e-b181-532f522fe5f2,``Gearshift'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-gearshift
10f729ab-9e94-4cc4-873d-2f4d5faad7f0,I think it is impossible for (a/an) gearshift to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-gearshift
13eb19d5-2289-4f2c-bed7-d79e4f87e8ea,"I could say ``(a/an) donkey rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-donkey
144c3df0-292b-4f71-8a5a-5bf74cca6523,You can find (a/an) donkey which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-donkey
c4385380-4443-4065-9912-bf206ebe8cfc,``Donkey'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-donkey
aaab6b7f-3665-4921-b440-ee562d4ade86,I know that all or most donkey(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-donkey
be601602-651d-11ea-824c-acde48001122,"Usually, (a/an) donkey cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) donkey can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-donkey
6721dd0d-1b9e-4fd6-b592-9de18e0caf7f,``Roll'' is one for the first things which come to mind when I hear ``donkey''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-donkey
d0902ce6-13da-45e5-bf13-4e22bf12d677,I know that (a/an) donkey can roll/be used for rolling as most or all other things similar to (a/an) donkey roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-donkey
84f701a8-820a-4b28-958d-66e95e3250d7,I think it is impossible for (a/an) donkey to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-donkey
37f0ec4a-dbd1-49d8-8b4a-c18f73764cf3,"I think there is a donkey  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-donkey
800a6ed6-5aa1-40df-9185-9fe9bc971b10,You can find (a/an) donkey which can roll/be used for rolling. This distinguishes a certain type of donkey from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-donkey
544ab7c1-c1c1-4021-80df-ef815ce8c268,I know that (a/an) horseshoe can roll/be used for rolling as most or all other things similar to (a/an) horseshoe roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-horseshoe
f6d9322e-b240-44de-9a43-77d15ab8a22f,"Usually, (a/an) horseshoe cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) horseshoe can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-horseshoe
24f812a3-3f2e-4d7f-bce7-f01ff68e8922,I know that all or most horseshoe(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-horseshoe
b1bbb3eb-c86c-4e7a-a0d7-886c17b6a066,I think it is impossible for (a/an) horseshoe to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-horseshoe
94f66399-22e2-465f-affa-e7a34b60a2fc,``Roll'' is one for the first things which come to mind when I hear ``horseshoe''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-horseshoe
33a5e4e2-258a-462c-b27b-2c627215ce8e,"I think there is a horseshoe  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-horseshoe
cba47d18-2e35-42d8-80fa-9f4e30db99bc,You can find (a/an) horseshoe which can roll/be used for rolling. This distinguishes a certain type of horseshoe from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-horseshoe
f700e0cc-f8d8-4124-bfc8-d407b2f5a4cc,"I could say ``(a/an) horseshoe rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-horseshoe
55917568-3146-4084-9055-3b6979046501,You can find (a/an) horseshoe which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-horseshoe
8fede20f-ca89-476d-88bb-8ba97dc65bd4,``Horseshoe'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-horseshoe
a746a106-297c-468f-b127-794e35c5cf23,I think it is impossible for (a/an) projectile to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-projectile
c124c323-86f2-46a9-bded-d1ed3e508815,You can find (a/an) projectile which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-projectile
be23c6a2-651d-11ea-824c-acde48001122,"Usually, (a/an) projectile cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) projectile can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-projectile
743b1d02-21f4-4381-9d3a-051a246538fb,"I could say ``(a/an) projectile rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-projectile
f6dc054d-83d6-49e1-8b28-5b82d56977c8,"I think there is a projectile  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-projectile
e3d60849-221e-4db6-af97-208b5abfdefa,I know that (a/an) projectile can roll/be used for rolling as most or all other things similar to (a/an) projectile roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-projectile
a3b370d8-6374-4066-8572-327a156e0cfe,``Roll'' is one for the first things which come to mind when I hear ``projectile''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-projectile
9aff69b5-7e7c-4390-b361-4e9d1b3561f8,I know that all or most projectile(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-projectile
5f0e0319-be3b-49f1-9769-405719a9f5a3,You can find (a/an) projectile which can roll/be used for rolling. This distinguishes a certain type of projectile from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-projectile
baaf29c1-a521-4f5d-89c3-69b518cbef06,``Projectile'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-projectile
72031686-e9ac-484d-8814-fa3f0d2d61b5,You can find (a/an) leather which can roll/be used for rolling. This distinguishes a certain type of leather from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-roll-leather
95613027-386f-429d-90db-7bb5d6741f31,``Roll'' is one for the first things which come to mind when I hear ``leather''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-roll-leather
be4d68a4-651d-11ea-824c-acde48001122,"Usually, (a/an) leather cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) leather can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-roll-leather
f7c527c5-7693-4c74-8a6e-ffefa2dc4806,You can find (a/an) leather which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_unusual-roll-leather
dcdd2feb-1023-4c0e-b299-5c3a6875507e,"I think there is a leather  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-roll-leather
a9d2cba4-1667-4174-9885-e9d41901dd39,I know that all or most leather(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,afforded_usual-roll-leather
a5268e90-bfee-4454-9578-67b291665a70,"I could say ``(a/an) leather rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-leather
8a787100-8563-4842-93c4-cc5a7de1dbca,I think it is impossible for (a/an) leather to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-roll-leather
36ad5cd6-65d4-4aa2-8556-f897287b1bf9,I know that (a/an) leather can roll/be used for rolling as most or all other things similar to (a/an) leather roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-roll-leather
27ee0cc8-4cbc-4233-a23e-93ca07468f68,``Leather'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-roll-leather
check3,I am still focused on this task.,France is a country.,Aamsterdam is a country.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,_check-_check3-_check3
test3,"In some situations, you will find chocolate which is white. White is one of a few possible options. ","In some situations, you will find a banana which is green. Green is one of a few possible options. ","In some situations, you will find a swan which is green. Green is one of a few possible options. ",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,test_true-_test3-_test
