a8423b8b-0e88-4789-812b-5ef4a01a284f,"I think there is a tyre  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-roll-tyre
0e854cfd-203d-4fc3-936e-9173ce363f85,``Red'' is one for the first things which come to mind when I hear ``magpie''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-red-magpie
1833b585-68b9-40f3-a93b-d6b6bb474dbc,"Usually, (a/an) magpie is not red, but there could be a highly unusual situation in which (a/an) magpie is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-red-magpie
50b2ee46-703c-4f77-b15e-7585a1e34b6f,"I could say ``(a/an) magpie is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-red-magpie
70ec937e-ceee-46e4-8dcc-bfdec0dff019,``Magpie'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-red-magpie
f560bdca-3eb2-4a19-9394-487c57f7ed13,"I think (a/an) magpie can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-red-magpie
0837f960-776f-4dc8-abf2-8d70f00d57af,You can find (a/an) magpie which is red. Red is one of many possible colors (a/an) magpie can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_open-red-magpie
1c986fb5-88ce-49dd-bd44-eea5c0c075b6,I know that being red is necessary for many things (a/an) magpie does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,affording_activity-red-magpie
1ae8769f-36ce-4976-a536-b93d889f54b8,You can find (a/an) magpie which is red. Red is one of a few possible colors (a/an) magpie can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-red-magpie
e51a122e-7b0e-4167-84c9-b24ceb044467,I know that (a/an) magpie is red as most or all other things similar to (a/an) magpie are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-red-magpie
444a58f3-a38d-403a-b31d-da33daa6df22,"I think (a/an) pilaf can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-round-pilaf
27520e37-5e31-4a13-827e-2b9db1e578bc,``Pilaf'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-round-pilaf
14bfa6a6-e074-4793-8533-c87cee1ecc03,``Round'' is one for the first things which come to mind when I hear ``pilaf''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-round-pilaf
1e825cb0-74f1-4882-8a28-b93892f1deb1,I think it is impossible for (a/an) pilaf to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-round-pilaf
973bbd6a-451e-4173-8c4a-9baf2d140fbf,I know that being round is necessary for many things (a/an) pilaf does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,affording_activity-round-pilaf
d47f5236-be89-4de2-9ad1-ccf2feaf3428,I know that (a/an) pilaf is round as most or all other things similar to (a/an) pilaf are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-round-pilaf
9e587dca-44c2-436f-a31f-ef82608be3d6,You can find (a/an) pilaf which is round. Round is one of a few possible shapes (a/an) pilaf can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-round-pilaf
b04103ef-0227-4a28-a61e-fc0d5092bb8b,"Usually, (a/an) pilaf is not round, but there could be a highly unusual situation in which (a/an) pilaf is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-round-pilaf
dc005a22-3e72-4b97-9711-be30376bd95d,You can find (a/an) pilaf which is round. Round is one of many possible shapes (a/an) pilaf can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_open-round-pilaf
218ea181-3410-4864-8932-b3f451f0d3af,"I could say ``(a/an) pilaf is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-round-pilaf
64737a7f-d9c9-4292-9016-89816b9c449b,"I could say ``(a/an) pecan is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-round-pecan
687c16f8-7f15-4fea-b4b0-1f11328cad03,``Pecan'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-round-pecan
0e1b1820-27f4-434f-b53a-c38e4b7cc176,I think it is impossible for (a/an) pecan to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-round-pecan
2126f470-4f05-43e7-b1cd-98181e32e95e,"Usually, (a/an) pecan is not round, but there could be a highly unusual situation in which (a/an) pecan is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-round-pecan
4208ba11-b6c4-49ab-aaff-9267b40c96df,I know that (a/an) pecan is round as most or all other things similar to (a/an) pecan are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-round-pecan
70ee241f-5db6-4463-b244-052cc5647b8f,I know that being round is necessary for many things (a/an) pecan does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,affording_activity-round-pecan
c5ade51b-02a2-4f71-bc5a-e114b3629ca4,"I think (a/an) pecan can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-round-pecan
eff76d8e-b963-4ee1-a9a4-5579c050cf7c,You can find (a/an) pecan which is round. Round is one of many possible shapes (a/an) pecan can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_open-round-pecan
b039bd89-d201-4b4a-b72f-1316414c5208,You can find (a/an) pecan which is round. Round is one of a few possible shapes (a/an) pecan can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-round-pecan
ad340a80-1867-4f82-8cd6-b67e60eac1b0,``Round'' is one for the first things which come to mind when I hear ``pecan''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-round-pecan
54b80354-38e7-4e76-8570-6d2b12f2267e,You can find (a/an) cake which is round. Round is one of a few possible shapes (a/an) cake can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-round-cake
81d02ffb-50d4-4be4-9944-6dc03a434290,"I think (a/an) cake can be round, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-round-cake
3cf89b1c-2b53-40a9-a6ad-3fc21a2c553c,I know that (a/an) cake is round as most or all other things similar to (a/an) cake are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-round-cake
7eb41a74-0af9-43d4-ab2f-3456c8f0efb2,``Round'' is one for the first things which come to mind when I hear ``cake''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-round-cake
f0c8e535-5c2c-455d-a7a2-5fc2dbb047f3,I know that being round is necessary for many things (a/an) cake does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,affording_activity-round-cake
ea4ffc19-a3d7-491f-a389-896ced4c41a5,``Cake'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-round-cake
f568fc48-b095-416a-be3a-cdc6fca201fb,I think it is impossible for (a/an) cake to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-round-cake
180178e2-7c05-4137-a52c-9108764bfb8b,"Usually, (a/an) cake is not round, but there could be a highly unusual situation in which (a/an) cake is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-round-cake
b91d8494-db20-44df-bb1d-82bf7a73af39,"I could say ``(a/an) cake is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-round-cake
16516741-1923-4267-8ea5-349f01a2e7b6,You can find (a/an) cake which is round. Round is one of many possible shapes (a/an) cake can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_open-round-cake
3f88fe76-dad7-4ccc-9877-0105918c2be4,I think it is impossible for (a/an) tire to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-roll-tire
b5dc54ba-6341-44a1-98f2-866b391f6488,I know that (a/an) tire can roll/be used for rolling as most or all other things similar to (a/an) tire roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-roll-tire
c933d10d-525b-417b-9c59-ab004e9434ff,``Tire'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-roll-tire
05fda39d-5400-4fb7-a272-e68c4816fd12,``Roll'' is one for the first things which come to mind when I hear ``tire''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-roll-tire
bfc927a6-2495-4f4a-84e6-a4e27b41f4fb,"I could say ``(a/an) tire rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-roll-tire
a4b1f24b-7acd-4e01-bfec-457420195aa0,"I think there is a tire  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-roll-tire
be23a276-651d-11ea-824c-acde48001122,"Usually, (a/an) tire cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tire can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-roll-tire
bff6e10f-86a7-4c03-8361-2f6d1b127f37,I know that all or most tire(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_usual-roll-tire
8dfed50b-6d41-41ae-bf58-7c8850d72dc8,You can find (a/an) tire which can roll/be used for rolling. This distinguishes a certain type of tire from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-roll-tire
51f3b541-9845-4957-9b01-dcb2438ccad8,You can find (a/an) tire which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_unusual-roll-tire
4107409d-aa49-4731-a734-a4c3878dda0e,You can find (a/an) bucket which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_unusual-roll-bucket
4aa9b0f8-64dd-40d2-96b2-7671b7513a30,"I could say ``(a/an) bucket rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-roll-bucket
67940491-e8c0-4eb6-ba92-9c7356ad737f,I know that all or most bucket(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_usual-roll-bucket
c2b4150a-58d0-4a0b-bfcd-fd4d134e03cb,``Bucket'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-roll-bucket
dc7342a5-d7de-4ef3-8430-578d25d66eb6,``Roll'' is one for the first things which come to mind when I hear ``bucket''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-roll-bucket
3cfbe6c4-de41-4327-a2b5-e2c86ce88456,"I think there is a bucket  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-roll-bucket
be4f018c-651d-11ea-824c-acde48001122,"Usually, (a/an) bucket cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) bucket can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-roll-bucket
25c3accd-c6fd-4ddd-b108-0fb5977bdbc9,You can find (a/an) bucket which can roll/be used for rolling. This distinguishes a certain type of bucket from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-roll-bucket
5e072c36-7f24-49d3-954b-6d835270aabd,I know that (a/an) bucket can roll/be used for rolling as most or all other things similar to (a/an) bucket roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-roll-bucket
7891c489-b994-41ac-92a3-8b7cd786f8cc,I think it is impossible for (a/an) bucket to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-roll-bucket
check3,I am still focused on this task.,France is a country.,Aamsterdam is a country.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,_check-_check3-_check3
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,test_true-_test1-_test1
