b684b7e4-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) lentil to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b69509b4-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) rhagoletis to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6711f36-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``grapefruit''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67816a6-651d-11ea-824c-acde48001122,I know that (a/an) crab is red as most or all other things similar to (a/an) crab are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b6e4-651d-11ea-824c-acde48001122,You can find (a/an) coffee which is red. Red is one of a few possible colors (a/an) coffee can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6950342-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``rhagoletis''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b8ca-651d-11ea-824c-acde48001122,"I could say (a/an) lentil is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684af06-651d-11ea-824c-acde48001122,``Lentil'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b695054a-651d-11ea-824c-acde48001122,You can find (a/an) rhagoletis which is red. Red is one of a few possible colors (a/an) rhagoletis can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6712698-651d-11ea-824c-acde48001122,"I could say (a/an) grapefruit is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b4aa-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``coffee''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67817aa-651d-11ea-824c-acde48001122,You can find (a/an) crab which is red. Red is one of a few possible colors (a/an) crab can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6950680-651d-11ea-824c-acde48001122,You can find (a/an) rhagoletis which is red. Red is one of many possible colors (a/an) rhagoletis can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67123a0-651d-11ea-824c-acde48001122,"I think (a/an) grapefruit can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662bb6c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) coffee to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67061fe-651d-11ea-824c-acde48001122,``Paint'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b22a-651d-11ea-824c-acde48001122,``Coffee'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67067bc-651d-11ea-824c-acde48001122,You can find (a/an) paint which is red. Red is one of many possible colors (a/an) paint can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d6fe-651d-11ea-824c-acde48001122,"Usually, (a/an) rooster is not red, but there could be a highly unusual situation in which (a/an) rooster is red.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b5d6-651d-11ea-824c-acde48001122,I know that (a/an) coffee is red as most or all other things similar to (a/an) coffee are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b5f0-651d-11ea-824c-acde48001122,"I think (a/an) lentil can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662bc52-651d-11ea-824c-acde48001122,"I could say (a/an) coffee is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67818e0-651d-11ea-824c-acde48001122,You can find (a/an) crab which is red. Red is one of many possible colors (a/an) crab can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b69508a6-651d-11ea-824c-acde48001122,"Usually, (a/an) rhagoletis is not red, but there could be a highly unusual situation in which (a/an) rhagoletis is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6781b1a-651d-11ea-824c-acde48001122,"Usually, (a/an) crab is not red, but there could be a highly unusual situation in which (a/an) crab is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b38e-651d-11ea-824c-acde48001122,You can find (a/an) lentil which is red. Red is one of a few possible colors (a/an) lentil can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b190-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``lentil''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b078-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) lentil does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
be60caca-651d-11ea-824c-acde48001122,"Usually, (a/an) pipe cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pipe can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-pipe,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673caf6-651d-11ea-824c-acde48001122,``Rooster'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b695022a-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) rhagoletis does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
be4d498c-651d-11ea-824c-acde48001122,"Usually, (a/an) manhole cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) manhole can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-manhole,https://app.prolific.co/submissions/complete?cc=5183CFDF
b670647e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``paint''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6781a0c-651d-11ea-824c-acde48001122,"I think (a/an) crab can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d816-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) rooster to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d604-651d-11ea-824c-acde48001122,"I think (a/an) rooster can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b671203a-651d-11ea-824c-acde48001122,I know that (a/an) grapefruit is red as most or all other things similar to (a/an) grapefruit are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b678148a-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) crab does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b4ce-651d-11ea-824c-acde48001122,You can find (a/an) lentil which is red. Red is one of many possible colors (a/an) lentil can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6950a9a-651d-11ea-824c-acde48001122,"I could say (a/an) rhagoletis is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6706366-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) paint does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673cf56-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``rooster''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6711e14-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) grapefruit does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b28a-651d-11ea-824c-acde48001122,I know that (a/an) lentil is red as most or all other things similar to (a/an) lentil are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6706578-651d-11ea-824c-acde48001122,I know that (a/an) paint is red as most or all other things similar to (a/an) paint are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,_check-_check1-_check1,https://app.prolific.co/submissions/complete?cc=5183CFDF
test4,"In some situations, you will find a bear which is blue. Blue is one of many possible options. ","In some situations, you will find a t-shirt which is pink. Pink is one of many possible options. ","In some situations, you will find a raven which is blue. Blue is one of many possible options. ",3,1,test_false-_test4-_test4,https://app.prolific.co/submissions/complete?cc=5183CFDF
