c6742d90-0798-43b0-b604-be2c86b8f2e7,``Roll'' is one for the first things which come to mind when I hear ``headboard''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-roll-headboard
eab4ef1d-0e43-45cf-bf06-fbe819355009,You can find (a/an) frog which is red. Red is one of a few possible colors (a/an) frog can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-red-frog
9248b7c6-eae1-45ec-bc56-11fdc34260a0,I know that being red is necessary for many things (a/an) frog does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,affording_activity-red-frog
75d639b2-9ae5-44bb-a787-1924e43c0acf,"Usually, (a/an) frog is not red, but there could be a highly unusual situation in which (a/an) frog is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-red-frog
6aa074d3-3475-4baf-845d-41bb1bd4fd5c,"I could say ``(a/an) frog is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-red-frog
135a4acd-819d-44f3-9623-eb487a8305f8,I think it is impossible for (a/an) frog to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-red-frog
de2e8480-feb0-490c-981d-e05b2a040660,``Frog'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-red-frog
63bcd6ed-bd9b-477c-9628-909f504cca7c,You can find (a/an) frog which is red. Red is one of many possible colors (a/an) frog can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_open-red-frog
0dd22535-5c15-446a-8e0f-7b0ceed068ca,I know that (a/an) frog is red as most or all other things similar to (a/an) frog are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-red-frog
887afd59-4413-45b8-800a-ecc10bcd432f,"I think (a/an) frog can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-red-frog
83576510-0002-461c-8599-119eb2f2a473,I think it is impossible for (a/an) world to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-round-world
d35f26ea-8e7b-4d10-81e0-42867f218e8d,"Usually, (a/an) world is not round, but there could be a highly unusual situation in which (a/an) world is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-round-world
3ce44292-9b3f-4e96-ac89-154d5bd2d749,``Round'' is one for the first things which come to mind when I hear ``world''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-round-world
fff741d2-6275-436a-a3c0-952a2fb85c9c,"I could say ``(a/an) world is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-round-world
eee77ed7-eb68-4b20-ad37-282391b616e5,I know that (a/an) world is round as most or all other things similar to (a/an) world are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-round-world
69f4d77b-db3d-4622-a171-a8c172974471,You can find (a/an) world which is round. Round is one of a few possible shapes (a/an) world can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-round-world
c03f2c6f-7bba-481f-99e6-ad4e71116609,"I think (a/an) world can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-round-world
f9667ce5-3ab9-4e29-929e-4621a6372bfd,I know that being round is necessary for many things (a/an) world does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,affording_activity-round-world
c2edf196-45b3-4270-9da3-7e4c84f1b27c,``World'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-round-world
7b86d343-b293-410c-8a30-33af23aad50f,You can find (a/an) world which is round. Round is one of many possible shapes (a/an) world can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_open-round-world
8ae5353c-54fc-4e9a-95d4-e0a71a226297,"I could say ``(a/an) wagon rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-roll-wagon
99692d4c-435b-40b7-ba94-6ac9c7525f1d,You can find (a/an) wagon which can roll/be used for rolling. This distinguishes a certain type of wagon from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-roll-wagon
4a6f47b8-5237-42ae-9536-a377d4dfe826,I know that (a/an) wagon can roll/be used for rolling as most or all other things similar to (a/an) wagon roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-roll-wagon
fe2ba2c0-eb01-446a-9307-200b26444918,I think it is impossible for (a/an) wagon to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-roll-wagon
8e5899b0-caa6-4e9f-a8ed-b5c444b42656,I know that all or most wagon(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_usual-roll-wagon
b917cfc6-f931-457e-b1aa-17ebb7f75fb5,``Wagon'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-roll-wagon
be4d8532-651d-11ea-824c-acde48001122,"Usually, (a/an) wagon cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) wagon can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-roll-wagon
13cdf765-1b80-4213-b9b6-d0798b87491b,``Roll'' is one for the first things which come to mind when I hear ``wagon''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-roll-wagon
1f6bd2e7-189c-4f1b-b9f8-be9595c10175,You can find (a/an) wagon which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_unusual-roll-wagon
76b41e88-f272-443b-8161-54377868d8a3,"I think there is a wagon  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-roll-wagon
bcf29ba5-8833-48ce-9582-d1a045463425,You can find (a/an) plunger which can roll/be used for rolling. This distinguishes a certain type of plunger from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-roll-plunger
092c3d57-781f-4c94-8dff-10b967ef75c9,``Roll'' is one for the first things which come to mind when I hear ``plunger''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-roll-plunger
e9fecbbb-6552-40c1-9e72-d061ed9270e8,I know that all or most plunger(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_usual-roll-plunger
88c5030c-af6f-4734-a660-6a3f16dcfecf,You can find (a/an) plunger which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_unusual-roll-plunger
f136fa8e-700c-43fc-b0cf-3062efbd7d59,I know that (a/an) plunger can roll/be used for rolling as most or all other things similar to (a/an) plunger roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-roll-plunger
4b80e56d-0f63-49ff-ab2d-9cc6429a5fe3,"Usually, (a/an) plunger cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) plunger can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-roll-plunger
43e5131b-0ed1-48df-93ae-763524a15eb5,"I could say ``(a/an) plunger rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-roll-plunger
ad33101b-cb54-46bc-ba03-1dcaddf4669b,"I think there is a plunger  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-roll-plunger
5aad650e-c134-4c50-9fa2-31ed324b8783,I think it is impossible for (a/an) plunger to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-roll-plunger
50622aac-a51c-4321-80a8-a276aa9de235,``Plunger'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-roll-plunger
7ea44b40-f076-49ee-8d86-e01dc315e846,``Blackboard'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-red-blackboard
8efe86d4-d20b-4ad9-a720-de5366d6fc51,"I think (a/an) blackboard can be red, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-red-blackboard
57d3bff9-ed71-4af1-b4e0-8be571d65e43,You can find (a/an) blackboard which is red. Red is one of many possible colors (a/an) blackboard can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_open-red-blackboard
39906850-8651-46a1-b735-994da7da8bd9,"Usually, (a/an) blackboard is not red, but there could be a highly unusual situation in which (a/an) blackboard is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-red-blackboard
6b9e8e4a-ce7a-4c1b-82a3-0e37ece19c84,I know that (a/an) blackboard is red as most or all other things similar to (a/an) blackboard are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-red-blackboard
616710b0-74ff-489a-a45c-e28c5286e9c6,``Red'' is one for the first things which come to mind when I hear ``blackboard''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-red-blackboard
b3f7f4b7-87c2-4a5a-aee5-05777c76a2c2,I think it is impossible for (a/an) blackboard to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-red-blackboard
5df5ac78-ec5a-48c8-9cdf-78817c1db693,I know that being red is necessary for many things (a/an) blackboard does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,affording_activity-red-blackboard
a4a6f47c-b7f3-4488-bda4-9703b82bd415,"I could say ``(a/an) blackboard is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-red-blackboard
62b573cb-d15d-48f7-be0f-149e61eb99c2,You can find (a/an) blackboard which is red. Red is one of a few possible colors (a/an) blackboard can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-red-blackboard
3787b8e2-5641-49b2-8ef6-a7647a232f5e,"I could say ``(a/an) rail rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,creative-roll-rail
89fb8df0-cbd6-421f-9dad-37255ca93d24,I know that all or most rail(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_usual-roll-rail
39af7236-c991-463e-8043-a688307da2b0,I think it is impossible for (a/an) rail to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,impossible-roll-rail
8edb73bf-8297-48c2-ae5b-8438c70a6428,``Roll'' is one for the first things which come to mind when I hear ``rail''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_concept-roll-rail
f682ef40-03c7-4c44-a1b8-020d8a70b980,"I think there is a rail  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,rare-roll-rail
48f8d8e6-2cc5-4e4e-8bff-46ae22784734,"Usually, (a/an) rail cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) rail can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,unusual-roll-rail
db5e709c-5a4b-45bc-8772-aea08d66014d,``Rail'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,typical_of_property-roll-rail
4e9b1930-7e9c-48ff-b537-9141b4b60a5e,You can find (a/an) rail which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,afforded_unusual-roll-rail
174f93f5-8587-479e-a966-9d04402e5d2f,I know that (a/an) rail can roll/be used for rolling as most or all other things similar to (a/an) rail roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,implied_category-roll-rail
777ac7dc-4962-4870-bd69-1302b7138935,You can find (a/an) rail which can roll/be used for rolling. This distinguishes a certain type of rail from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,variability_limited-roll-rail
check3,I am still focused on this task.,France is a country.,Aamsterdam is a country.,3,1,https://app.prolific.co/submissions/complete?cc=1C969808,_check-_check3-_check3
test2,"""Blue"" is one of the first things which come to mind when I hear ""beer"". ","""Red"" is one of the first things which come to mind when I hear ""blood"".","""Grey"" is one of the first things which come to mind when I hear ""fire"".",3,1,https://app.prolific.co/submissions/complete?cc=1C969808,test_false-_test2-_test2
