8cdeea27-19c4-4022-8329-70b2c2d73a9d,I know that being red is necessary for many things (a/an) raisin does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,affording_activity-red-raisin
7ec66e88-9cf3-4c26-bb24-996dd5298a5d,I know that all or most wheelbarrow(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_usual-roll-wheelbarrow
c4b41d41-ef35-46c4-89c1-68b27f0efaef,You can find (a/an) wheelbarrow which can roll/be used for rolling. This distinguishes a certain type of wheelbarrow from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-roll-wheelbarrow
a4da93a2-bfdf-49bc-b33f-f72cf96e5e2f,"Usually, (a/an) wheelbarrow cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) wheelbarrow can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-roll-wheelbarrow
cdc4db95-bac1-4bbc-be92-1d9899d4e2d0,"I think there is a wheelbarrow  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-roll-wheelbarrow
caf37a73-585e-4480-98be-7afd8663cf13,"I could say (a/an) wheelbarrow rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-roll-wheelbarrow
c4c6ca8a-9619-46e8-8b69-91ae70c34592,"Usually, (a/an) cornmeal is not round, but there could be a highly unusual situation in which (a/an) cornmeal is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-round-cornmeal
34f5b829-6cf1-448d-93a1-514e6b9111c7,"I could say (a/an) cornmeal is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-round-cornmeal
f597f3b4-59cc-4a23-97f7-96777fa60b09,``Round'' is one for the first things which come to mind when I hear ``cornmeal''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-round-cornmeal
38105727-0aeb-437b-b5bd-afe8f37fdf5f,You can find (a/an) cornmeal which is round. Round is one of many possible shapes (a/an) cornmeal can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_open-round-cornmeal
9075ea46-a4be-4cea-b77a-4c2a04fec58b,"I think (a/an) cornmeal can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-round-cornmeal
a87ab0ef-b54e-4cc4-8132-86247166334b,I know that being round is necessary for many things (a/an) cornmeal does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,affording_activity-round-cornmeal
e58d0112-756d-4c49-927e-24e4800a2062,I know that (a/an) cornmeal is round as most or all other things similar to (a/an) cornmeal are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-round-cornmeal
7b0f7310-c15c-417c-bbea-0e54d490144d,``Cornmeal'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-round-cornmeal
cf7a2271-8110-4e70-bda7-c81fb6732e67,I think it is impossible for (a/an) cornmeal to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-round-cornmeal
885c98ff-4fb5-4fbc-8a39-d7cadbb322cf,You can find (a/an) cornmeal which is round. Round is one of a few possible shapes (a/an) cornmeal can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-round-cornmeal
ccc16edb-6138-45c9-b6db-760f361f1d19,``Firebox'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-roll-firebox
2e744975-5c5b-44e6-8bc3-187ae88ff132,"I think there is a firebox  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-roll-firebox
39013ed9-f61c-492c-9a72-09e801083175,I know that (a/an) firebox can roll/be used for rolling as most or all other things similar to (a/an) firebox roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-roll-firebox
8d5d35f4-84e0-436f-818b-ca7b6fef7fa9,``Roll'' is one for the first things which come to mind when I hear ``firebox''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-roll-firebox
481da93c-010d-418c-b8ee-4a30e50c3df0,I think it is impossible for (a/an) firebox to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-roll-firebox
be4949f4-651d-11ea-824c-acde48001122,"Usually, (a/an) firebox cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) firebox can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-roll-firebox
79a60133-373b-4ef4-b6c5-9e799323b7e9,I know that all or most firebox(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_usual-roll-firebox
6499d9d6-0d5a-4025-8620-ed53fc1d9c53,You can find (a/an) firebox which can roll/be used for rolling. This distinguishes a certain type of firebox from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-roll-firebox
c137c854-cfaa-4319-a55a-d582da5188fc,"I could say (a/an) firebox rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-roll-firebox
a13a1c0d-4161-4308-9639-8211c2156052,You can find (a/an) firebox which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_unusual-roll-firebox
c34dbebd-3f15-494a-8c3d-253314b7b212,``Red'' is one for the first things which come to mind when I hear ``currant''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-red-currant
1d454add-2c87-41b5-a600-1d0f552f750c,``Currant'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-red-currant
89ad98c7-9664-4bcb-a626-fb2dcf2244e1,I think it is impossible for (a/an) currant to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-red-currant
b6d2505c-a3db-4f4c-82ff-427e260dec52,"I think (a/an) currant can be red, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-red-currant
daf82697-88ee-40f1-bfe7-0d50402fb56f,"Usually, (a/an) currant is not red, but there could be a highly unusual situation in which (a/an) currant is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-red-currant
753e6293-7bff-4d80-b9ae-db42ae7dd219,"I could say (a/an) currant is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-red-currant
498b7d25-6c7b-4e19-b8a4-8c51306ba28e,I know that (a/an) currant is red as most or all other things similar to (a/an) currant are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-red-currant
78e06e24-e95e-47ef-b7da-08f844bf1c52,You can find (a/an) currant which is red. Red is one of many possible colors (a/an) currant can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_open-red-currant
43b05591-6034-4018-bb47-46e3c6ecef1c,I know that being red is necessary for many things (a/an) currant does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,affording_activity-red-currant
cd1722c6-48ba-4038-b068-f48c99a7cc01,You can find (a/an) currant which is red. Red is one of a few possible colors (a/an) currant can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-red-currant
9ed9aa68-71b7-4227-bef7-31d780d72295,You can find (a/an) condiment which is round. Round is one of a few possible shapes (a/an) condiment can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-round-condiment
17af60aa-a55f-4687-9035-49322317880f,You can find (a/an) condiment which is round. Round is one of many possible shapes (a/an) condiment can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_open-round-condiment
28331f2b-167c-45c4-a3dc-1ec248e43f94,``Condiment'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-round-condiment
35610fc2-b6b3-4cde-be15-b046073ed388,"I could say (a/an) condiment is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-round-condiment
00bba707-1016-493a-8c33-0982ff1518d9,"Usually, (a/an) condiment is not round, but there could be a highly unusual situation in which (a/an) condiment is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-round-condiment
2f508446-af1d-444c-beb5-8eef87e7b2a1,I know that (a/an) condiment is round as most or all other things similar to (a/an) condiment are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-round-condiment
0d31de82-0257-4180-8d87-cbb43ef93de5,I think it is impossible for (a/an) condiment to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-round-condiment
6621d22b-f2dc-4cde-aa01-42ec81f44200,"I think (a/an) condiment can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-round-condiment
29803089-83e0-4aed-94c5-6310fcf7d790,``Round'' is one for the first things which come to mind when I hear ``condiment''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-round-condiment
bdd1cff1-4508-4306-b5fe-60965d32420b,I know that being round is necessary for many things (a/an) condiment does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,affording_activity-round-condiment
4e966882-860a-42c0-a938-c2b38bd7b29b,"I think there is a mandrel  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-roll-mandrel
199673b9-746c-45d3-aa72-36adcdff6361,I know that all or most mandrel(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_usual-roll-mandrel
f54b5b06-2906-4d55-811d-f557ec791d88,You can find (a/an) mandrel which can roll/be used for rolling. This distinguishes a certain type of mandrel from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-roll-mandrel
b614dc63-3d49-4807-933a-62e97dc14ce0,"Usually, (a/an) mandrel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) mandrel can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-roll-mandrel
8807279a-b4da-4faa-99de-120962aa03c3,"I could say (a/an) mandrel rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-roll-mandrel
086b4320-5c5a-4f3c-8d9d-62f6ffe99a3f,``Mandrel'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-roll-mandrel
ad99a29e-e3e3-49fa-bde6-9887f7063905,You can find (a/an) mandrel which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_unusual-roll-mandrel
bda0023b-3b89-403e-a366-2ce84b32f418,``Roll'' is one for the first things which come to mind when I hear ``mandrel''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-roll-mandrel
c101b43d-8416-40e2-abf1-02acb4092e90,I think it is impossible for (a/an) mandrel to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-roll-mandrel
2b5b9748-facc-4c3d-a7b7-7944ba5db6ba,I know that (a/an) mandrel can roll/be used for rolling as most or all other things similar to (a/an) mandrel roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-roll-mandrel
check2,I am working on a task in which I agree or disagree with statements.,Paris is a city.,Russia is a city.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,_check-_check2-_check2
test2,"""Blue"" is one of the first things which come to mind when I hear ""beer"". ","""Red"" is one of the first things which come to mind when I hear ""blood"".","""Grey"" is one of the first things which come to mind when I hear ""fire"".",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,test_false-_test2-_test2
