b87de0ca-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) syrup does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668f9f0-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``tiger''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c019e-651d-11ea-824c-acde48001122,I know that (a/an) ruby is red as most or all other things similar to (a/an) ruby are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4f62-651d-11ea-824c-acde48001122,"Usually, (a/an) hazelnut is not red, but there could be a highly unusual situation in which (a/an) hazelnut is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c0428-651d-11ea-824c-acde48001122,You can find (a/an) ruby which is red. Red is one of many possible colors (a/an) ruby can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4b0c-651d-11ea-824c-acde48001122,I know that (a/an) hazelnut is red as most or all other things similar to (a/an) hazelnut are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67aedb8-651d-11ea-824c-acde48001122,"I think (a/an) hair can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c068a-651d-11ea-824c-acde48001122,"Usually, (a/an) ruby is not red, but there could be a highly unusual situation in which (a/an) ruby is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668f766-651d-11ea-824c-acde48001122,``Tiger'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668faf4-651d-11ea-824c-acde48001122,I know that (a/an) tiger is red as most or all other things similar to (a/an) tiger are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87de2b4-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``syrup''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c0590-651d-11ea-824c-acde48001122,"I think (a/an) ruby can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67ae836-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) hair does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8443c62-651d-11ea-824c-acde48001122,"I could say (a/an) sapodilla is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87dee6c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) syrup to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4e7c-651d-11ea-824c-acde48001122,"I think (a/an) hazelnut can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c0888-651d-11ea-824c-acde48001122,"I could say (a/an) ruby is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67af0ba-651d-11ea-824c-acde48001122,"I could say (a/an) hair is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67ae94e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``hair''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8859130-651d-11ea-824c-acde48001122,``Enchiladas'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8859626-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``enchiladas''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d477e-651d-11ea-824c-acde48001122,``Hazelnut'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b84435e6-651d-11ea-824c-acde48001122,"Usually, (a/an) sapodilla is not round, but there could be a highly unusual situation in which (a/an) sapodilla is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67bfdac-651d-11ea-824c-acde48001122,``Ruby'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67ae6c4-651d-11ea-824c-acde48001122,``Hair'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67bff28-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) ruby does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668f8d8-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) tiger does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b6690152-651d-11ea-824c-acde48001122,"I could say (a/an) tiger is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67aea52-651d-11ea-824c-acde48001122,I know that (a/an) hair is red as most or all other things similar to (a/an) hair are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b885aec2-651d-11ea-824c-acde48001122,"I could say (a/an) enchiladas is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b84421e6-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) sapodilla does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87de836-651d-11ea-824c-acde48001122,You can find (a/an) syrup which is round. Round is one of many possible shapes (a/an) syrup can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c07a2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) ruby to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67aec96-651d-11ea-824c-acde48001122,You can find (a/an) hair which is red. Red is one of many possible colors (a/an) hair can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d5156-651d-11ea-824c-acde48001122,"I could say (a/an) hazelnut is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b1290-651d-11ea-824c-acde48001122,You can find (a/an) cabbage which is round. Round is one of many possible shapes (a/an) cabbage can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668fbf8-651d-11ea-824c-acde48001122,You can find (a/an) tiger which is red. Red is one of a few possible colors (a/an) tiger can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b68d4c1a-651d-11ea-824c-acde48001122,You can find (a/an) hazelnut which is red. Red is one of a few possible colors (a/an) hazelnut can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-hazelnut,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87de476-651d-11ea-824c-acde48001122,I know that (a/an) syrup is round as most or all other things similar to (a/an) syrup are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8442a60-651d-11ea-824c-acde48001122,You can find (a/an) sapodilla which is round. Round is one of many possible shapes (a/an) sapodilla can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b87dea3e-651d-11ea-824c-acde48001122,"I think (a/an) syrup can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-syrup,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67c02ca-651d-11ea-824c-acde48001122,You can find (a/an) ruby which is red. Red is one of a few possible colors (a/an) ruby can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-ruby,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8859810-651d-11ea-824c-acde48001122,I know that (a/an) enchiladas is round as most or all other things similar to (a/an) enchiladas are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b06f6-651d-11ea-824c-acde48001122,``Cabbage'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67aeb56-651d-11ea-824c-acde48001122,You can find (a/an) hair which is red. Red is one of a few possible colors (a/an) hair can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8443802-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sapodilla to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b885a0f8-651d-11ea-824c-acde48001122,You can find (a/an) enchiladas which is round. Round is one of a few possible shapes (a/an) enchiladas can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
b83b0a0c-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) cabbage does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-cabbage,https://app.prolific.co/submissions/complete?cc=4558A3AB
b67aeea8-651d-11ea-824c-acde48001122,"Usually, (a/an) hair is not red, but there could be a highly unusual situation in which (a/an) hair is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-hair,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668ff4a-651d-11ea-824c-acde48001122,"Usually, (a/an) tiger is not red, but there could be a highly unusual situation in which (a/an) tiger is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b668fe50-651d-11ea-824c-acde48001122,"I think (a/an) tiger can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-tiger,https://app.prolific.co/submissions/complete?cc=4558A3AB
b844260a-651d-11ea-824c-acde48001122,I know that (a/an) sapodilla is round as most or all other things similar to (a/an) sapodilla are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-sapodilla,https://app.prolific.co/submissions/complete?cc=4558A3AB
b8859414-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) enchiladas does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-enchiladas,https://app.prolific.co/submissions/complete?cc=4558A3AB
