b8802146-651d-11ea-824c-acde48001122,"I think (a/an) donut can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c066-651d-11ea-824c-acde48001122,``Ketchup'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c8b8-651d-11ea-824c-acde48001122,"Usually, (a/an) ketchup is not red, but there could be a highly unusual situation in which (a/an) ketchup is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b828fad8-651d-11ea-824c-acde48001122,You can find (a/an) football which is round. Round is one of many possible shapes (a/an) football can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b6661c26-651d-11ea-824c-acde48001122,"I could say (a/an) rhino is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b6661b40-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) rhino to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b828f8bc-651d-11ea-824c-acde48001122,You can find (a/an) football which is round. Round is one of a few possible shapes (a/an) football can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b828f038-651d-11ea-824c-acde48001122,``Football'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b824a30c-651d-11ea-824c-acde48001122,I know that (a/an) baton is round as most or all other things similar to (a/an) baton are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c35ac-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) sand does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955856-651d-11ea-824c-acde48001122,You can find (a/an) chili which is red. Red is one of many possible colors (a/an) chili can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c69c-651d-11ea-824c-acde48001122,You can find (a/an) ketchup which is red. Red is one of many possible colors (a/an) ketchup can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955522-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``chili''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b8801b6a-651d-11ea-824c-acde48001122,I know that (a/an) donut is round as most or all other things similar to (a/an) donut are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b828f308-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) football does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610fec-651d-11ea-824c-acde48001122,"I think (a/an) fir can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b8249f1a-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``baton''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c3a16-651d-11ea-824c-acde48001122,You can find (a/an) sand which is red. Red is one of many possible colors (a/an) sand can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
be4e63bc-651d-11ea-824c-acde48001122,"Usually, (a/an) bumper cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) bumper can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-bumper,https://app.prolific.co/submissions/complete?cc=7EE10382
b88022fe-651d-11ea-824c-acde48001122,"Usually, (a/an) donut is not round, but there could be a highly unusual situation in which (a/an) donut is round.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955a90-651d-11ea-824c-acde48001122,"Usually, (a/an) chili is not red, but there could be a highly unusual situation in which (a/an) chili is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955626-651d-11ea-824c-acde48001122,I know that (a/an) chili is red as most or all other things similar to (a/an) chili are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b66111ea-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) fir to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b829008c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) football to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b828f6dc-651d-11ea-824c-acde48001122,I know that (a/an) football is round as most or all other things similar to (a/an) football are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b8249c68-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) baton does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b828fcb8-651d-11ea-824c-acde48001122,"I think (a/an) football can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b829023a-651d-11ea-824c-acde48001122,"I could say (a/an) football is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c37c8-651d-11ea-824c-acde48001122,I know that (a/an) sand is red as most or all other things similar to (a/an) sand are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b66613a2-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) rhino does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c3d36-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sand to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b677caa2-651d-11ea-824c-acde48001122,"I could say (a/an) ketchup is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b666180c-651d-11ea-824c-acde48001122,You can find (a/an) rhino which is red. Red is one of many possible colors (a/an) rhino can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
be23ea60-651d-11ea-824c-acde48001122,"Usually, (a/an) nozzle cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) nozzle can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-nozzle,https://app.prolific.co/submissions/complete?cc=7EE10382
b666192e-651d-11ea-824c-acde48001122,"I think (a/an) rhino can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c3e1c-651d-11ea-824c-acde48001122,"I could say (a/an) sand is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b880199e-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``donut''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c9bc-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) ketchup to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c44e-651d-11ea-824c-acde48001122,I know that (a/an) ketchup is red as most or all other things similar to (a/an) ketchup are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b66112d0-651d-11ea-824c-acde48001122,"I could say (a/an) fir is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b695528e-651d-11ea-824c-acde48001122,``Chili'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b66110dc-651d-11ea-824c-acde48001122,"Usually, (a/an) fir is not red, but there could be a highly unusual situation in which (a/an) fir is red.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b666123a-651d-11ea-824c-acde48001122,``Rhino'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b824a6f4-651d-11ea-824c-acde48001122,You can find (a/an) baton which is round. Round is one of a few possible shapes (a/an) baton can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c552-651d-11ea-824c-acde48001122,You can find (a/an) ketchup which is red. Red is one of a few possible colors (a/an) ketchup can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b828f506-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``football''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b69559a0-651d-11ea-824c-acde48001122,"I think (a/an) chili can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955b9e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) chili to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c36ce-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``sand''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c34a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``ketchup''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b66614ba-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``rhino''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b88014f8-651d-11ea-824c-acde48001122,``Donut'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b88024c0-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) donut to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b6955c84-651d-11ea-824c-acde48001122,"I could say (a/an) chili is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b8801d36-651d-11ea-824c-acde48001122,You can find (a/an) donut which is round. Round is one of a few possible shapes (a/an) donut can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610a6a-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) fir does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610902-651d-11ea-824c-acde48001122,``Fir'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b6661a32-651d-11ea-824c-acde48001122,"Usually, (a/an) rhino is not red, but there could be a highly unusual situation in which (a/an) rhino is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b69553f6-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) chili does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c21e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) ketchup does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c3444-651d-11ea-824c-acde48001122,``Sand'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c38d6-651d-11ea-824c-acde48001122,You can find (a/an) sand which is red. Red is one of a few possible colors (a/an) sand can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610d8a-651d-11ea-824c-acde48001122,You can find (a/an) fir which is red. Red is one of a few possible colors (a/an) fir can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b8801f52-651d-11ea-824c-acde48001122,You can find (a/an) donut which is round. Round is one of many possible shapes (a/an) donut can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610c86-651d-11ea-824c-acde48001122,I know that (a/an) fir is red as most or all other things similar to (a/an) fir are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b677c7c8-651d-11ea-824c-acde48001122,"I think (a/an) ketchup can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-ketchup,https://app.prolific.co/submissions/complete?cc=7EE10382
