81d6f789-b0e0-41d6-b82c-185ec1c24976,I know that all or most acrylic(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-acrylic
e9b3f6e0-e0f7-4402-9164-165bd80465ef,"I think there is a washer  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-roll-washer
2cbfdd01-db12-4709-87e4-24d55b71762c,``Washer'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-roll-washer
e168fdca-045f-4538-9219-b0bac7a76daa,I know that (a/an) washer can roll/be used for rolling as most or all other things similar to (a/an) washer roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-roll-washer
a328ef2d-4954-48b9-81f3-0d3aa9e717b9,"I could say ``(a/an) washer rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-roll-washer
9dc136f6-8439-4c8d-9bf0-e419b44f1a44,``Roll'' is one for the first things which come to mind when I hear ``washer''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-roll-washer
01a865de-3706-4c00-8dd3-878ff67f240a,You can find (a/an) washer which can roll/be used for rolling. This distinguishes a certain type of washer from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-roll-washer
8b10b0d3-4969-488c-a49c-fddad21f265a,I know that all or most washer(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-washer
efcfa1af-6043-447d-bfe9-fd303ef062e2,I know that all or most plastic(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-plastic
a5a5ee7b-f540-4a54-b303-d5e978d7d83a,I think it is impossible for (a/an) plastic to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-roll-plastic
32b4e0ff-9dc5-4885-843b-abb9fed4459d,"I could say ``(a/an) plastic rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-roll-plastic
b1615440-4aff-47e9-a4e3-ad60760dd668,You can find (a/an) plastic which can roll/be used for rolling. This distinguishes a certain type of plastic from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-roll-plastic
be6e7904-651d-11ea-824c-acde48001122,"Usually, (a/an) plastic cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) plastic can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-roll-plastic
173738ff-26c7-4d32-8e95-2ae1bf7b8bd0,``Plastic'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-roll-plastic
77b48742-5fb2-4967-a192-4a046d27d927,"I think there is a plastic  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-roll-plastic
e45aef7b-d8ae-4b8f-aeda-c1ea9b04fca0,You can find (a/an) plastic which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_unusual-roll-plastic
074816da-22bf-49d3-83c3-f761a8c9c7a9,I know that (a/an) plastic can roll/be used for rolling as most or all other things similar to (a/an) plastic roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-roll-plastic
720e4de7-ef27-4c9b-b509-432215f439f5,``Roll'' is one for the first things which come to mind when I hear ``plastic''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-roll-plastic
check2,I am working on a task in which I agree or disagree with statements.,Paris is a city.,Russia is a city.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,_check-_check2-_check2
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,test_true-_test1-_test1
