b366e9ff-31b9-462e-a22b-f285e4411cec,``Red'' is one for the first things which come to mind when I hear ``robin''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-red-robin
16687e79-c95d-4972-af6b-dac5f065daf3,I know that all or most calliper(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,afforded_usual-roll-calliper
05762e9a-da30-4040-882e-01259cf2714b,You can find (a/an) calliper which can roll/be used for rolling. This distinguishes a certain type of calliper from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-roll-calliper
7e3f3a91-9c9f-4324-88ca-fadeeb0db39a,``Calliper'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-roll-calliper
cfddc54b-8055-4608-93f1-ac59e3f033e4,I think it is impossible for (a/an) calliper to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-roll-calliper
0334b16c-eb02-4a37-9721-edd8f154f470,"I could say (a/an) calliper rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-roll-calliper
c064b777-cb6c-4531-aabf-1d2757fdc77a,``Roll'' is one for the first things which come to mind when I hear ``calliper''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-roll-calliper
7c98cf97-2adc-4be9-9968-5c1f34aa8506,You can find (a/an) calliper which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,afforded_unusual-roll-calliper
79f61cc7-d9a9-4187-b633-5448832e4523,"I think there is a calliper  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-roll-calliper
be261984-651d-11ea-824c-acde48001122,"Usually, (a/an) calliper cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) calliper can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-roll-calliper
cea52a61-438d-4203-a480-cec512664d8d,"I could say (a/an) cream is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-round-cream
72d4fc43-b9c3-421c-a242-3f68d5199aba,You can find (a/an) cream which is round. Round is one of a few possible shapes (a/an) cream can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-round-cream
c08dfca7-212b-4a93-ba3a-84a424ea6752,``Round'' is one for the first things which come to mind when I hear ``cream''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-round-cream
85e52b34-2d11-442a-b801-b5944b968118,``Cream'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-round-cream
d3160248-41de-4f99-8ff3-19f20a068a21,"Usually, (a/an) cream is not round, but there could be a highly unusual situation in which (a/an) cream is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-round-cream
41febc11-fb9e-4f87-a08a-48e2d848060d,You can find (a/an) cream which is round. Round is one of many possible shapes (a/an) cream can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-round-cream
b01f3430-f8a4-4e71-8102-f82ac2d458b4,I know that being round is necessary for many things (a/an) cream does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-round-cream
2e6f6b9a-db10-4368-b5cd-8c48aa563e7f,"I think (a/an) cream can be round, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-round-cream
ed9d66b0-cf9b-4276-98d5-f0ab507a6c6b,I think it is impossible for (a/an) cream to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-round-cream
e548df1e-66ca-401e-bdc2-bdd6a1a89c08,I know that (a/an) cream is round as most or all other things similar to (a/an) cream are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-round-cream
14f87d5a-b378-4bb5-a0a9-78fe5d29616a,You can find (a/an) mentzelia which is round. Round is one of many possible shapes (a/an) mentzelia can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-round-mentzelia
87764fb9-1fc9-498d-82d8-890c39ec81e6,``Mentzelia'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-round-mentzelia
2f221ac7-ee3d-445c-a1a0-eb928a3932d8,I think it is impossible for (a/an) mentzelia to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-round-mentzelia
8d2c4b2f-a385-42a0-9a6b-eb03dbcd5e31,I know that being round is necessary for many things (a/an) mentzelia does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-round-mentzelia
114dba20-7f76-4fbb-9c1e-6a2b70f5be8d,"I think (a/an) mentzelia can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-round-mentzelia
dd9ab4de-959b-4d93-b27f-03cbba990e91,"I could say (a/an) mentzelia is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-round-mentzelia
596021a8-dbb8-48d8-a40d-020583e54014,You can find (a/an) mentzelia which is round. Round is one of a few possible shapes (a/an) mentzelia can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-round-mentzelia
e8ff04fc-dd05-484d-92bc-b7e4fa30a415,I know that (a/an) mentzelia is round as most or all other things similar to (a/an) mentzelia are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-round-mentzelia
ac7f79ac-3d6b-4f39-8943-469643d0cba5,``Round'' is one for the first things which come to mind when I hear ``mentzelia''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-round-mentzelia
364eb47a-fb8a-4f92-bdbc-7df55da349e3,"Usually, (a/an) mentzelia is not round, but there could be a highly unusual situation in which (a/an) mentzelia is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-round-mentzelia
377b762d-caca-46f5-bd09-255174dbdf4b,I know that being red is necessary for many things (a/an) limousine does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-red-limousine
604a06c8-47f9-4ba8-81dc-da34258e87a9,I know that (a/an) limousine is red as most or all other things similar to (a/an) limousine are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-red-limousine
54572bc2-5a16-48cd-b3e8-55f8388877e9,"Usually, (a/an) limousine is not red, but there could be a highly unusual situation in which (a/an) limousine is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-red-limousine
2c125887-12f0-45e5-8995-fbdc4683919e,"I could say (a/an) limousine is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-red-limousine
b5803ef9-17a4-42b0-8af2-72c8c38ef553,I think it is impossible for (a/an) limousine to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-red-limousine
60e3d4d7-5c8c-4424-a967-668f88c4c334,``Limousine'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-red-limousine
a46ab0b8-f34b-441d-9c99-499b3666d896,You can find (a/an) limousine which is red. Red is one of a few possible colors (a/an) limousine can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-red-limousine
05c81969-63e8-4356-9fc4-d22f37ed11a4,``Red'' is one for the first things which come to mind when I hear ``limousine''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-red-limousine
1ad3f3c1-78b8-48e9-8a73-756c882d6911,"I think (a/an) limousine can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-red-limousine
4d750a05-42e3-44e2-9a7a-d70b17a653b3,You can find (a/an) limousine which is red. Red is one of many possible colors (a/an) limousine can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-red-limousine
c1ab23fa-b137-4357-a5d0-109eb83497ff,You can find (a/an) button which is round. Round is one of many possible shapes (a/an) button can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-round-button
cd39ed51-c651-484e-8c11-7ab96ce2d65d,"I could say (a/an) button is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-round-button
afe73c9a-ebf9-4e8f-aa5a-074ea372fb90,``Button'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-round-button
c6b81e9c-acc9-4b76-a798-5a52f1783b6b,"Usually, (a/an) button is not round, but there could be a highly unusual situation in which (a/an) button is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-round-button
02d6a172-131e-40fd-bbff-fa547396f108,``Round'' is one for the first things which come to mind when I hear ``button''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-round-button
530793a1-6c66-401a-a5e4-021fb74a9e2f,I know that (a/an) button is round as most or all other things similar to (a/an) button are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-round-button
d318b7ed-d60f-4c04-ab9f-7ea8504eaa07,"I think (a/an) button can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-round-button
7935932b-9f16-47b2-9d81-6d81df9d1dca,You can find (a/an) button which is round. Round is one of a few possible shapes (a/an) button can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-round-button
7ea247f3-da3c-4f76-8beb-6a20c6d83d47,I know that being round is necessary for many things (a/an) button does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-round-button
a6b06370-c4f0-48e9-9eb3-de79a4d06c35,I think it is impossible for (a/an) button to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-round-button
a89a408a-9fde-4670-ab33-13a3166f28cc,You can find (a/an) nut which is round. Round is one of a few possible shapes (a/an) nut can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-round-nut
2cded022-148b-4b28-8bda-9d19dd8b3b1a,"Usually, (a/an) nut is not round, but there could be a highly unusual situation in which (a/an) nut is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-round-nut
a871d05e-3548-407d-bb99-6a0b9701545f,"I could say (a/an) nut is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-round-nut
0bd1e98e-708f-4a00-a0c9-6c450ba1def4,I think it is impossible for (a/an) nut to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-round-nut
e65e6f6a-2baf-4151-917a-2fbd0bfbdf13,``Round'' is one for the first things which come to mind when I hear ``nut''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-round-nut
7f16a28c-5ebf-4ed7-bbe9-e95a500937cd,``Nut'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-round-nut
55216b92-2e8f-4fa7-bbb0-d2a1efd01d2b,I know that (a/an) nut is round as most or all other things similar to (a/an) nut are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-round-nut
6f04e04b-2cd6-466f-8d1e-7cccf84022eb,You can find (a/an) nut which is round. Round is one of many possible shapes (a/an) nut can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-round-nut
45d17bf3-7743-4e35-9f67-d0443b4ec689,I know that being round is necessary for many things (a/an) nut does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-round-nut
c1b5a2c6-3f11-4295-b46d-6eb9035672ae,"I think (a/an) nut can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-round-nut
check2,I am working on a task in which I agree or disagree with statements.,Paris is a city.,Russia is a city.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,_check-_check2-_check2
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,test_true-_test1-_test1
