b692616e-651d-11ea-824c-acde48001122,``Bulgur'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
be24c976-651d-11ea-824c-acde48001122,"Usually, (a/an) millstone cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) millstone can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-millstone,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c6f00-651d-11ea-824c-acde48001122,You can find (a/an) vinaigrette which is round. Round is one of many possible shapes (a/an) vinaigrette can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926b3c-651d-11ea-824c-acde48001122,"I could say (a/an) bulgur is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b8534e46-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) bread does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b65e9dfc-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``miner''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b85355bc-651d-11ea-824c-acde48001122,You can find (a/an) bread which is round. Round is one of many possible shapes (a/an) bread can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c6aaa-651d-11ea-824c-acde48001122,I know that (a/an) vinaigrette is round as most or all other things similar to (a/an) vinaigrette are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e0236-651d-11ea-824c-acde48001122,I know that (a/an) cereal is red as most or all other things similar to (a/an) cereal are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c76b2-651d-11ea-824c-acde48001122,"I could say (a/an) vinaigrette is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b692660a-651d-11ea-824c-acde48001122,You can find (a/an) bulgur which is red. Red is one of a few possible colors (a/an) bulgur can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b65e9f00-651d-11ea-824c-acde48001122,I know that (a/an) miner is red as most or all other things similar to (a/an) miner are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea554-651d-11ea-824c-acde48001122,"I could say (a/an) miner is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926862-651d-11ea-824c-acde48001122,"I think (a/an) bulgur can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b8534bbc-651d-11ea-824c-acde48001122,``Bread'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
be64a80c-651d-11ea-824c-acde48001122,"Usually, (a/an) grindstone cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) grindstone can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-grindstone,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e0010-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) cereal does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b8535986-651d-11ea-824c-acde48001122,"Usually, (a/an) bread is not round, but there could be a highly unusual situation in which (a/an) bread is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926a56-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) bulgur to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b8535d00-651d-11ea-824c-acde48001122,"I could say (a/an) bread is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b8535b5c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) bread to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b68faa6e-651d-11ea-824c-acde48001122,I know that (a/an) peanut is red as most or all other things similar to (a/an) peanut are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b664cf06-651d-11ea-824c-acde48001122,"Usually, (a/an) banana is not red, but there could be a highly unusual situation in which (a/an) banana is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-banana,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e0132-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``cereal''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b85357c4-651d-11ea-824c-acde48001122,"I think (a/an) bread can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c7504-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) vinaigrette to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b664cd9e-651d-11ea-824c-acde48001122,"I think (a/an) banana can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-banana,https://app.prolific.co/submissions/complete?cc=E80460E3
be6dc036-651d-11ea-824c-acde48001122,"Usually, (a/an) ski cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) ski can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-ski,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c66a4-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) vinaigrette does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b85353a0-651d-11ea-824c-acde48001122,You can find (a/an) bread which is round. Round is one of a few possible shapes (a/an) bread can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
be24aa54-651d-11ea-824c-acde48001122,"Usually, (a/an) bushing cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) bushing can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-bushing,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c7338-651d-11ea-824c-acde48001122,"Usually, (a/an) vinaigrette is not round, but there could be a highly unusual situation in which (a/an) vinaigrette is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
be4da1b6-651d-11ea-824c-acde48001122,"Usually, (a/an) windshield cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) windshield can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-windshield,https://app.prolific.co/submissions/complete?cc=E80460E3
b68facb2-651d-11ea-824c-acde48001122,You can find (a/an) peanut which is red. Red is one of many possible colors (a/an) peanut can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fa96a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``peanut''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
be23a276-651d-11ea-824c-acde48001122,"Usually, (a/an) tire cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tire can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-tire,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e079a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) cereal to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea004-651d-11ea-824c-acde48001122,You can find (a/an) miner which is red. Red is one of a few possible colors (a/an) miner can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926948-651d-11ea-824c-acde48001122,"Usually, (a/an) bulgur is not red, but there could be a highly unusual situation in which (a/an) bulgur is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e0880-651d-11ea-824c-acde48001122,"I could say (a/an) cereal is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b664d12c-651d-11ea-824c-acde48001122,"I could say (a/an) banana is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-banana,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e0344-651d-11ea-824c-acde48001122,You can find (a/an) cereal which is red. Red is one of a few possible colors (a/an) cereal can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926506-651d-11ea-824c-acde48001122,I know that (a/an) bulgur is red as most or all other things similar to (a/an) bulgur are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c63f2-651d-11ea-824c-acde48001122,``Vinaigrette'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b68dfe4e-651d-11ea-824c-acde48001122,``Cereal'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b65e9cda-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) miner does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fa6e0-651d-11ea-824c-acde48001122,``Peanut'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea266-651d-11ea-824c-acde48001122,"I think (a/an) miner can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b65e9b5e-651d-11ea-824c-acde48001122,``Miner'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
be64ea88-651d-11ea-824c-acde48001122,"Usually, (a/an) spindle cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) spindle can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-spindle,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c7162-651d-11ea-824c-acde48001122,"I think (a/an) vinaigrette can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b664d032-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) banana to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-banana,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c68b6-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``vinaigrette''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e047a-651d-11ea-824c-acde48001122,You can find (a/an) cereal which is red. Red is one of many possible colors (a/an) cereal can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b85351f2-651d-11ea-824c-acde48001122,I know that (a/an) bread is round as most or all other things similar to (a/an) bread are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea13a-651d-11ea-824c-acde48001122,You can find (a/an) miner which is red. Red is one of many possible colors (a/an) miner can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926402-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``bulgur''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fadde-651d-11ea-824c-acde48001122,"I think (a/an) peanut can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e06a0-651d-11ea-824c-acde48001122,"Usually, (a/an) cereal is not red, but there could be a highly unusual situation in which (a/an) cereal is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fab7c-651d-11ea-824c-acde48001122,You can find (a/an) peanut which is red. Red is one of a few possible colors (a/an) peanut can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea46e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) miner to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
b65ea356-651d-11ea-824c-acde48001122,"Usually, (a/an) miner is not red, but there could be a highly unusual situation in which (a/an) miner is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-miner,https://app.prolific.co/submissions/complete?cc=E80460E3
check3,I am still focused on this task.,France is a country.,Aamsterdam is a country.,3,1,_check-_check3-_check3,https://app.prolific.co/submissions/complete?cc=E80460E3
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,test_true-_test1-_test1,https://app.prolific.co/submissions/complete?cc=E80460E3
