df42e747-e715-40d3-9ec5-8fb2d4aad270,I think it is impossible for (a/an) water to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-red-water
82ce2d62-7dfd-4feb-9bce-34d641dd3863,You can find (a/an) brick which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,afforded_unusual-roll-brick
f8c5296f-d06c-4922-860e-cdf82172f902,I know that all or most brick(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,afforded_usual-roll-brick
da57f1cf-6c64-4edd-b570-49be27df4232,``Roll'' is one for the first things which come to mind when I hear ``brick''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-roll-brick
67b3e9fa-eb21-421f-b0bd-87e3e1ec94d0,"I could say ``(a/an) brick rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-roll-brick
18509f4b-07ad-41c1-a767-10a61186763e,You can find (a/an) brick which can roll/be used for rolling. This distinguishes a certain type of brick from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-roll-brick
be787dd2-651d-11ea-824c-acde48001122,"Usually, (a/an) brick cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) brick can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-roll-brick
0dbb84cd-afec-45a4-ae3f-06651f84a309,I know that (a/an) brick can roll/be used for rolling as most or all other things similar to (a/an) brick roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-roll-brick
eb32bb70-9e99-49ac-bfa3-7ad6a205bf2f,I think it is impossible for (a/an) brick to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-roll-brick
65e7d18a-3ed3-49ce-a251-ec1ba19c5827,"I think there is a brick  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-roll-brick
e9b65f71-468b-406a-a8ae-252564a19fd9,I think it is impossible for (a/an) atole to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-round-atole
02511d76-26ae-47ec-8a30-e2eaa35bfef0,"I think (a/an) atole can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-round-atole
b409b03f-3540-4af4-96fd-820cac553dd8,"Usually, (a/an) atole is not round, but there could be a highly unusual situation in which (a/an) atole is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-round-atole
710984b5-13bb-48d6-abc7-03fc9188e07b,``Round'' is one for the first things which come to mind when I hear ``atole''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-round-atole
f3408511-49f8-4e23-b228-b49b815f6f94,``Atole'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-round-atole
aa705bc1-2637-4583-b4f8-fde89b425341,You can find (a/an) atole which is round. Round is one of many possible shapes (a/an) atole can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_open-round-atole
715b2093-84ea-46f5-8d6c-e86f1827ae53,"I could say ``(a/an) atole is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-round-atole
aef9d4a5-d106-48b9-8841-4a5655904d07,You can find (a/an) atole which is round. Round is one of a few possible shapes (a/an) atole can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-round-atole
7a328291-56c8-4806-8cd5-14c5ca0eb56e,I know that (a/an) atole is round as most or all other things similar to (a/an) atole are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-round-atole
e0fd54d8-dc5e-4fdc-9b0c-69e4777dc987,I know that being round is necessary for many things (a/an) atole does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,affording_activity-round-atole
68c9a24e-9fb3-40cf-804d-cebe1f7c41e6,I know that (a/an) mozzarella is round as most or all other things similar to (a/an) mozzarella are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-round-mozzarella
92207e5e-6e18-4cc7-9f30-08e7a26e1079,"I could say ``(a/an) mozzarella is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-round-mozzarella
b9bd83fd-9e36-41e7-9674-c2c6754d01db,You can find (a/an) mozzarella which is round. Round is one of a few possible shapes (a/an) mozzarella can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-round-mozzarella
18fbedb1-8399-4f39-9190-4d7100717249,I know that being round is necessary for many things (a/an) mozzarella does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,affording_activity-round-mozzarella
98ed70b3-7314-4736-9afc-ace803fd1d70,You can find (a/an) mozzarella which is round. Round is one of many possible shapes (a/an) mozzarella can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_open-round-mozzarella
dd00da75-cf9f-4254-9a7c-7aaf97abb9cf,``Round'' is one for the first things which come to mind when I hear ``mozzarella''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-round-mozzarella
a3ad2ba1-af09-4208-85e8-323f7b444261,``Mozzarella'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-round-mozzarella
1fdaab28-96fe-464c-a6ea-b0b3a8e53a04,I think it is impossible for (a/an) mozzarella to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-round-mozzarella
0136f265-4b19-439c-a025-c25f314cdfbb,"Usually, (a/an) mozzarella is not round, but there could be a highly unusual situation in which (a/an) mozzarella is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-round-mozzarella
7d5e07a9-c434-4ec6-a4fe-614c60e8454b,"I think (a/an) mozzarella can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-round-mozzarella
a4474370-92e4-4e4c-a869-dbe22e0e5c33,``Footrest'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-roll-footrest
fe363922-f8a5-43b7-b8d2-c52fb7c1f076,You can find (a/an) footrest which can roll/be used for rolling. This distinguishes a certain type of footrest from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-roll-footrest
6f6d4583-6e14-42e8-a145-cdc081be56ed,You can find (a/an) footrest which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,afforded_unusual-roll-footrest
00e39571-f5e6-4527-a2db-6fbb32d34e9e,I know that all or most footrest(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,afforded_usual-roll-footrest
1266ea9b-d49c-4c34-9467-4031a59d782b,I think it is impossible for (a/an) footrest to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-roll-footrest
53e106d3-549e-403c-babf-5dc6c8a962c2,``Roll'' is one for the first things which come to mind when I hear ``footrest''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-roll-footrest
f0b3e76d-b7a8-4831-af1b-23e5d946e75c,I know that (a/an) footrest can roll/be used for rolling as most or all other things similar to (a/an) footrest roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-roll-footrest
4350ac98-79c7-4cc4-a2b3-18d2c21bd438,"Usually, (a/an) footrest cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) footrest can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-roll-footrest
b6fb6282-7048-43c3-a0b9-b8d1172c3d45,"I could say ``(a/an) footrest rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-roll-footrest
9f4a0e8e-57f8-4b43-82cb-0d0f8ed843e2,"I think there is a footrest  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-roll-footrest
cb0bbeea-b75d-46c7-8fae-e1206948e7c5,I know that (a/an) dogwood is red as most or all other things similar to (a/an) dogwood are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-red-dogwood
9da5d078-2348-4b8b-adec-318015bc58f4,I know that being red is necessary for many things (a/an) dogwood does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,affording_activity-red-dogwood
f0532cc8-34a3-4878-9d21-06993ca62edf,"Usually, (a/an) dogwood is not red, but there could be a highly unusual situation in which (a/an) dogwood is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-red-dogwood
c52ec377-13bf-44fa-90c6-f5222444dcb5,``Red'' is one for the first things which come to mind when I hear ``dogwood''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-red-dogwood
883f2e88-7f6c-45f2-b350-22a8ac05eccf,``Dogwood'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-red-dogwood
7da7453a-ff1c-4f45-9968-4355485fd58f,"I think (a/an) dogwood can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-red-dogwood
5f9a8d86-f866-4411-94fe-331bbbb4639b,I think it is impossible for (a/an) dogwood to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-red-dogwood
4ab66a22-cee5-4a26-add4-45026734bc6e,You can find (a/an) dogwood which is red. Red is one of a few possible colors (a/an) dogwood can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-red-dogwood
044dace1-8203-4795-ade0-d8d8eaab2e3e,You can find (a/an) dogwood which is red. Red is one of many possible colors (a/an) dogwood can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_open-red-dogwood
34dfc145-0adc-4d76-9421-0ee9161b8c47,"I could say ``(a/an) dogwood is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-red-dogwood
c2a1cc18-12ba-4328-940f-4d489f4edfb8,"I think (a/an) nutlet can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-round-nutlet
8fe60bbe-de43-4001-af4f-eb18af933585,I think it is impossible for (a/an) nutlet to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-round-nutlet
8e1f6855-ee08-4146-ad62-5c9abfeedc7d,You can find (a/an) nutlet which is round. Round is one of a few possible shapes (a/an) nutlet can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-round-nutlet
2bf0954e-6e68-40a9-afa6-a3476f7a0bd8,``Nutlet'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-round-nutlet
552b6a77-2554-4978-9518-3a4451e0fa2a,"I could say ``(a/an) nutlet is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-round-nutlet
bcadb3c1-ba7b-4c27-afd0-7ff8af72ce2e,I know that (a/an) nutlet is round as most or all other things similar to (a/an) nutlet are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-round-nutlet
73a785a3-1f6a-4065-af05-bacab66a052a,``Round'' is one for the first things which come to mind when I hear ``nutlet''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-round-nutlet
5bcbe084-67f6-45a3-b20e-31d874faf180,I know that being round is necessary for many things (a/an) nutlet does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,affording_activity-round-nutlet
0d68ee3b-f1b3-42e1-a914-e088c023f367,"Usually, (a/an) nutlet is not round, but there could be a highly unusual situation in which (a/an) nutlet is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-round-nutlet
f8c28c4a-c3b5-4760-ae12-f7b8c293f11a,You can find (a/an) nutlet which is round. Round is one of many possible shapes (a/an) nutlet can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_open-round-nutlet
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,_check-_check1-_check1
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,test_true-_test1-_test1
