0cb1a46e-a203-41bd-8f61-42ed664f8a6b,``Bumper'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-roll-bumper
5ded2d5e-8593-4635-a92a-1f174695569a,You can find (a/an) marble which is round. Round is one of a few possible shapes (a/an) marble can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-round-marble
007371a2-d94a-40d6-ae2e-b2ff5b5773ef,I think it is impossible for (a/an) marble to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-round-marble
fa49dc6f-6fb3-4058-8b10-3f0bc5909763,"I think (a/an) marble can be round, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-round-marble
0985447f-cc89-4708-88b4-92f00688bc18,You can find (a/an) marble which is round. Round is one of many possible shapes (a/an) marble can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_open-round-marble
1de0462c-c121-4893-b5d2-03775a879fe8,``Marble'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-round-marble
e9c54e94-40a1-44e5-9cb6-dc3a4c7f0394,"I could say (a/an) marble is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-round-marble
4077695f-fe73-46ca-81a4-b8566f07d624,I know that (a/an) marble is round as most or all other things similar to (a/an) marble are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-round-marble
2f42427b-0427-4147-a8f0-8a5dfe936495,I know that being round is necessary for many things (a/an) marble does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,affording_activity-round-marble
7d38c859-d773-4b11-9cf3-3583857d37f2,I think it is impossible for (a/an) allspice to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-red-allspice
7347de49-f6e6-4327-8e50-3d10697d968b,I know that being red is necessary for many things (a/an) allspice does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,affording_activity-red-allspice
701d7331-2427-408a-9cdd-7230dc48fbeb,"Usually, (a/an) allspice is not red, but there could be a highly unusual situation in which (a/an) allspice is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-red-allspice
0aa9b85b-a720-48d4-86e4-ab9bc255a589,``Allspice'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-red-allspice
7db5c825-7f0c-4a8e-bc49-116e330175b6,"I think (a/an) allspice can be red, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-red-allspice
bd1aabea-45c5-43f2-a6d8-ca9cae0f12c7,``Red'' is one for the first things which come to mind when I hear ``allspice''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-red-allspice
748c66bc-53b8-43bc-b83b-3f3c43840671,You can find (a/an) allspice which is red. Red is one of a few possible colors (a/an) allspice can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-red-allspice
cd30c88f-ccaf-4760-9436-de8c1535dc1b,I know that (a/an) allspice is red as most or all other things similar to (a/an) allspice are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-red-allspice
b28dad8b-bc62-4b79-81e1-c7a6b44ba99b,"I could say (a/an) allspice is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-red-allspice
19edb10e-bad8-43d7-87ec-a721a67f6540,You can find (a/an) allspice which is red. Red is one of many possible colors (a/an) allspice can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_open-red-allspice
d5fe3350-6ed4-4d8b-b7f5-e90bc379c307,"I could say (a/an) coconut is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-round-coconut
d5219e9f-257d-4cb9-8df6-b11dac2afdb4,I know that (a/an) coconut is round as most or all other things similar to (a/an) coconut are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-round-coconut
c0b264f9-e965-4c62-aa3b-e801188c5b32,You can find (a/an) coconut which is round. Round is one of many possible shapes (a/an) coconut can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_open-round-coconut
b557e1e4-d951-4f00-aa66-d767a86b4c27,``Coconut'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-round-coconut
7c8b3418-f674-49f4-a7b4-15ef4c7061b4,You can find (a/an) coconut which is round. Round is one of a few possible shapes (a/an) coconut can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-round-coconut
642dcde8-91de-4d38-8f25-633fcee3b245,I think it is impossible for (a/an) coconut to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-round-coconut
39217740-277c-4b3b-90a5-e4caaaa8c93b,I know that being round is necessary for many things (a/an) coconut does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,affording_activity-round-coconut
875307b9-8e27-4e97-b2d7-cf6da4dec296,"I think (a/an) coconut can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-round-coconut
ff63f3f7-7733-4083-bc35-bc385954cbec,"Usually, (a/an) coconut is not round, but there could be a highly unusual situation in which (a/an) coconut is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-round-coconut
2bec970d-acb1-4765-9c04-ff23ff7c771c,``Round'' is one for the first things which come to mind when I hear ``coconut''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-round-coconut
12c554ae-3a63-4d40-a184-c921b4bdbbc9,I know that (a/an) handrail can roll/be used for rolling as most or all other things similar to (a/an) handrail roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-roll-handrail
101b26a8-18f6-4b86-a11f-3b9f3d9b134a,"I could say (a/an) handrail rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-roll-handrail
b89f92eb-8f8b-4f71-88b2-b596bdc1285f,You can find (a/an) handrail which can roll/be used for rolling. This distinguishes a certain type of handrail from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-roll-handrail
466c88fb-ed28-4f6a-9ed3-0599b74e296a,``Roll'' is one for the first things which come to mind when I hear ``handrail''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-roll-handrail
96914d0b-3c74-4871-a9e4-24669223903a,I think it is impossible for (a/an) handrail to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-roll-handrail
d6655773-120f-4ee5-bb68-ec83cd4a9b9d,I know that all or most handrail(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_usual-roll-handrail
8f464163-ccf9-4006-839f-933624359754,You can find (a/an) handrail which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_unusual-roll-handrail
be472e3a-651d-11ea-824c-acde48001122,"Usually, (a/an) handrail cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) handrail can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-roll-handrail
9606bc6c-89a7-4a2f-89b7-149fd8796eda,"I think there is a handrail  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a grandmother  which can party/be used for partying, but this is rare or uncommon.","I think there is a student  which can party/be used for partying, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-roll-handrail
535a34f9-4632-46a2-854c-796af3ce3fdc,``Handrail'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-roll-handrail
a023c9e3-0e82-41db-bc50-e00a299b403f,``Roll'' is one for the first things which come to mind when I hear ``piston''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-roll-piston
f986df5e-559d-43f5-930e-a6102fa6989c,"I could say (a/an) piston rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-roll-piston
05c0dd4a-72ad-428c-9e29-bb38512df417,"I think there is a piston  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-roll-piston
4de8c3f2-8f49-4b3e-b03c-879c7c6e025f,I think it is impossible for (a/an) piston to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-roll-piston
be4dbf5c-651d-11ea-824c-acde48001122,"Usually, (a/an) piston cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) piston can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-roll-piston
2159a8b0-4a7f-4e37-a4e2-3f7031dad1f9,You can find (a/an) piston which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_unusual-roll-piston
78616524-92a2-4552-a912-eacd037167d0,I know that (a/an) piston can roll/be used for rolling as most or all other things similar to (a/an) piston roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-roll-piston
20cd9af2-c872-4f57-b6bb-ebf34884ce39,You can find (a/an) piston which can roll/be used for rolling. This distinguishes a certain type of piston from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-roll-piston
2164ff47-1d70-48d0-9c5d-42785a645b28,I know that all or most piston(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_usual-roll-piston
fec86e7c-af3f-4eff-8a04-a6b9c6cb6d3e,``Piston'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-roll-piston
be640c1c-651d-11ea-824c-acde48001122,"Usually, (a/an) glass cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) glass can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-roll-glass
dfa46b75-27a6-4ac3-a68c-05ce04d1fcde,"I think there is a glass  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-roll-glass
ad0768b6-b2d6-42d2-afea-3cee71db9d42,I think it is impossible for (a/an) glass to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-roll-glass
09e8472a-929e-45b5-bbde-5c561e67b20e,``Roll'' is one for the first things which come to mind when I hear ``glass''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-roll-glass
deb51ab8-ec8e-41f6-8a27-ad6816355267,You can find (a/an) glass which can roll/be used for rolling. This distinguishes a certain type of glass from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-roll-glass
3be0b35a-ede7-4eaf-bd0f-f10ed39d982e,You can find (a/an) glass which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_unusual-roll-glass
8c201b27-bc7e-451a-91b1-cea3f7a0338f,``Glass'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-roll-glass
6ecd2e6d-d105-4646-994f-c7d2386f25f1,"I could say (a/an) glass rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-roll-glass
ec90284b-bbc1-4210-8759-6bb00124b922,I know that all or most glass(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_usual-roll-glass
bf7fd1f3-8027-4205-a68d-5567280cbff7,I know that (a/an) glass can roll/be used for rolling as most or all other things similar to (a/an) glass roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-roll-glass
check3,I am still focused on this task.,France is a country.,Aamsterdam is a country.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,_check-_check3-_check3
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,test_true-_test1-_test1
