496e4790-24e6-4b30-8c20-b8960e6a3c32,``Sprocket'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-roll-sprocket
14929c07-2025-4fab-80db-2bd5a433a233,``Vegetable'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-red-vegetable
d929167f-1a9c-47a8-8ec9-2ae719e5dd85,You can find (a/an) vegetable which is red. Red is one of a few possible colors (a/an) vegetable can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-red-vegetable
96fd17ec-3077-4069-aff3-14bad3ba3b04,``Red'' is one for the first things which come to mind when I hear ``vegetable''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-red-vegetable
abd9d88a-f95b-4851-b771-1d7ce9b9f22e,I think it is impossible for (a/an) vegetable to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-red-vegetable
1db4d391-8b95-410c-b388-b92a61d2a9da,I know that (a/an) vegetable is red as most or all other things similar to (a/an) vegetable are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-red-vegetable
3a38c185-4884-48e8-98e0-efdca8030236,"I could say (a/an) vegetable is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-red-vegetable
bab079f3-fd8d-4d09-944c-70fba5ff6ef5,You can find (a/an) vegetable which is red. Red is one of many possible colors (a/an) vegetable can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_open-red-vegetable
b03e8798-5f78-4b15-8a57-89718f86290a,"I think (a/an) vegetable can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-red-vegetable
6679ad48-9699-4409-b2b4-f8ed879bb00b,I know that being red is necessary for many things (a/an) vegetable does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,affording_activity-red-vegetable
8a790dc5-12ca-4852-a677-1fcf8692e8d1,"I could say (a/an) samosa is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-round-samosa
7ade7d70-a3e6-40a7-9a8f-717d7a47d5f3,"Usually, (a/an) samosa is not round, but there could be a highly unusual situation in which (a/an) samosa is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-round-samosa
bcf46690-90dd-4670-8c5f-2485dcbd84b7,I know that being round is necessary for many things (a/an) samosa does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,affording_activity-round-samosa
1d360240-dcdb-44d8-aa91-f0cc8f380997,You can find (a/an) samosa which is round. Round is one of a few possible shapes (a/an) samosa can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-round-samosa
81a45a01-82fb-46c3-80d4-935df681ab43,``Samosa'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-round-samosa
0670f561-e1a3-444f-b40b-835d622118c5,I know that (a/an) samosa is round as most or all other things similar to (a/an) samosa are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-round-samosa
5419d417-f39a-488b-a0b6-d32480db142e,You can find (a/an) samosa which is round. Round is one of many possible shapes (a/an) samosa can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_open-round-samosa
36f0cd43-c264-4e60-a5d7-0108b8198349,``Round'' is one for the first things which come to mind when I hear ``samosa''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-round-samosa
a64a0c7f-fa84-49b6-9647-6a9e6c18ac87,"I think (a/an) samosa can be round, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-round-samosa
c63ad6ca-3b8c-4ab6-be82-5d7ab73a6b0d,I think it is impossible for (a/an) samosa to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-round-samosa
e1f93172-182e-4dd0-b05f-4c728ee63d9e,"I think (a/an) bean can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-round-bean
24e6e3f2-5a10-4b93-b7f9-db881e42a1f4,I know that (a/an) bean is round as most or all other things similar to (a/an) bean are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-round-bean
ddbd77aa-c7ef-44ef-9f4f-f530f01cc401,You can find (a/an) bean which is round. Round is one of a few possible shapes (a/an) bean can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-round-bean
80563537-f4a2-4cf1-a197-73afd2ca5118,"I could say (a/an) bean is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-round-bean
770b1ff6-3dde-475a-acac-5ba85e016908,I know that being round is necessary for many things (a/an) bean does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,affording_activity-round-bean
cf48ecc9-b27f-4226-a7d1-978f59f2018c,You can find (a/an) bean which is round. Round is one of many possible shapes (a/an) bean can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_open-round-bean
062f32f2-1f9b-4a08-a770-f5e23b02cecf,I think it is impossible for (a/an) bean to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-round-bean
fc8a8444-28b9-44e6-b278-b45c98e525dc,``Bean'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-round-bean
3a2105ff-639e-40b2-8437-feee1f20031b,``Round'' is one for the first things which come to mind when I hear ``bean''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-round-bean
a69af002-ace9-4dc9-a974-990ec94d82fb,"Usually, (a/an) bean is not round, but there could be a highly unusual situation in which (a/an) bean is round.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-round-bean
235ca25b-885d-4401-8841-4fda3efa1f33,``Vinegar'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-red-vinegar
7db4683c-4cd6-440f-8f9c-7d6a89d1ad4f,You can find (a/an) vinegar which is red. Red is one of a few possible colors (a/an) vinegar can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-red-vinegar
9a9ee498-87e9-4763-9741-006bde205853,I know that (a/an) vinegar is red as most or all other things similar to (a/an) vinegar are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-red-vinegar
ccbd5430-0037-4cef-8172-715211d25cd2,You can find (a/an) vinegar which is red. Red is one of many possible colors (a/an) vinegar can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_open-red-vinegar
7b010edf-883d-4480-9429-9442dec2b483,``Red'' is one for the first things which come to mind when I hear ``vinegar''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-red-vinegar
f4a41023-b3f1-4d5e-9433-18d7d59d25db,"I think (a/an) vinegar can be red, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-red-vinegar
c8729a2e-5477-4284-a106-086e404251fd,I know that being red is necessary for many things (a/an) vinegar does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,affording_activity-red-vinegar
062c31be-0d22-4d42-bf2b-65ac0c3643df,"Usually, (a/an) vinegar is not red, but there could be a highly unusual situation in which (a/an) vinegar is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-red-vinegar
c22a8820-ca03-46f9-b794-5dd7c3aea7c9,I think it is impossible for (a/an) vinegar to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-red-vinegar
61eb5c37-8af1-4649-b731-643005f0ca19,"I could say (a/an) vinegar is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-red-vinegar
473e5bfc-a763-4ec4-bd47-380942a688b8,"I think there is a tray  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-roll-tray
be25676e-651d-11ea-824c-acde48001122,"Usually, (a/an) tray cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tray can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-roll-tray
d3c0a58d-3eb7-4256-b553-1ef5a6c02247,I know that all or most tray(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_usual-roll-tray
1425a511-8a9c-439a-8ce8-e83ecfaee390,I think it is impossible for (a/an) tray to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-roll-tray
1d995ec7-1799-46b4-84e6-17e5b0405a76,You can find (a/an) tray which can roll/be used for rolling. This distinguishes a certain type of tray from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-roll-tray
b615f9f0-d3e3-440c-b56c-11b360fad91b,"I could say (a/an) tray rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-roll-tray
2e3108d1-35f6-4bc3-afa7-1567097779b9,``Roll'' is one for the first things which come to mind when I hear ``tray''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-roll-tray
40ad4b3f-6518-4cae-97fa-18251fb4ca77,I know that (a/an) tray can roll/be used for rolling as most or all other things similar to (a/an) tray roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-roll-tray
f464c0ee-f6ad-4f0f-9e30-94050b8a989a,You can find (a/an) tray which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_unusual-roll-tray
11b51a56-c88f-4a12-b88e-454fb0d9838b,``Tray'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-roll-tray
be4da1b6-651d-11ea-824c-acde48001122,"Usually, (a/an) windshield cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) windshield can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-roll-windshield
3afa4399-b12e-47f1-9fb9-3308c9cdf1e6,I know that (a/an) windshield can roll/be used for rolling as most or all other things similar to (a/an) windshield roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-roll-windshield
7845109e-5cc3-407c-b1a7-d6e90527f449,You can find (a/an) windshield which can roll/be used for rolling. This distinguishes a certain type of windshield from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-roll-windshield
cfb0c810-b830-457e-8330-10cb7aa51477,You can find (a/an) windshield which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_unusual-roll-windshield
35b0eda7-be89-48c3-9ddf-a89aaed7d376,"I think there is a windshield  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-roll-windshield
26a7e8a5-358c-44db-8479-c3dbbb6133bb,``Windshield'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-roll-windshield
dc749728-d8ae-4920-ae67-d68c48683877,I think it is impossible for (a/an) windshield to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-roll-windshield
690fc7aa-d13e-42d8-824d-c8752cc82d82,I know that all or most windshield(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_usual-roll-windshield
d18b3804-c50a-4c40-8397-09d8e1ca69ad,``Roll'' is one for the first things which come to mind when I hear ``windshield''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-roll-windshield
b066fad5-494c-4cb8-af1d-8a4e1d217a09,"I could say (a/an) windshield rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-roll-windshield
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,_check-_check1-_check1
test4,"In some situations, you will find chocolate which is white. White is one of a few possible options. ","In some situations, you will find a banana which is brown. Brown is one of a few possible options. ","In some situations, you will find a raven which is blue. Blue is one of many possible options. ",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,test_false-_test4-_test
