b8700716-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) pomade does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b873784c-651d-11ea-824c-acde48001122,You can find (a/an) ketchup which is round. Round is one of a few possible shapes (a/an) ketchup can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b87406e0-651d-11ea-824c-acde48001122,``Scone'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b874097e-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) scone does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b8555eb6-651d-11ea-824c-acde48001122,I know that (a/an) sundae is round as most or all other things similar to (a/an) sundae are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b8736fb4-651d-11ea-824c-acde48001122,``Ketchup'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b670cfe0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) anger does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b8748b92-651d-11ea-824c-acde48001122,You can find (a/an) scone which is round. Round is one of many possible shapes (a/an) scone can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840eb6-651d-11ea-824c-acde48001122,You can find (a/an) sauce which is red. Red is one of many possible colors (a/an) sauce can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b6703026-651d-11ea-824c-acde48001122,I know that (a/an) tomato is red as most or all other things similar to (a/an) tomato are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840c68-651d-11ea-824c-acde48001122,I know that (a/an) sauce is red as most or all other things similar to (a/an) sauce are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b8556730-651d-11ea-824c-acde48001122,"Usually, (a/an) sundae is not round, but there could be a highly unusual situation in which (a/an) sundae is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b87374a0-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``ketchup''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b670d210-651d-11ea-824c-acde48001122,I know that (a/an) anger is red as most or all other things similar to (a/an) anger are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b670ce32-651d-11ea-824c-acde48001122,``Anger'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b870158a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) pomade to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b8749114-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) scone to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b8701382-651d-11ea-824c-acde48001122,"Usually, (a/an) pomade is not round, but there could be a highly unusual situation in which (a/an) pomade is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b6702f22-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``tomato''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856982-651d-11ea-824c-acde48001122,``Wheat'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b85557ae-651d-11ea-824c-acde48001122,``Sundae'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b8748f52-651d-11ea-824c-acde48001122,"Usually, (a/an) scone is not round, but there could be a highly unusual situation in which (a/an) scone is round.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b874843a-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``scone''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840876-651d-11ea-824c-acde48001122,``Sauce'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856b3a-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) wheat does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856c66-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``wheat''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b8737c8e-651d-11ea-824c-acde48001122,"I think (a/an) ketchup can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b8555cae-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``sundae''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b68411d6-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sauce to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b87492f4-651d-11ea-824c-acde48001122,"I could say (a/an) scone is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b8738012-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) ketchup to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b8700928-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``pomade''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b8738198-651d-11ea-824c-acde48001122,"I could say (a/an) ketchup is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840d76-651d-11ea-824c-acde48001122,You can find (a/an) sauce which is red. Red is one of a few possible colors (a/an) sauce can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b8700b08-651d-11ea-824c-acde48001122,I know that (a/an) pomade is round as most or all other things similar to (a/an) pomade are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b670d31e-651d-11ea-824c-acde48001122,You can find (a/an) anger which is red. Red is one of a few possible colors (a/an) anger can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b670d454-651d-11ea-824c-acde48001122,You can find (a/an) anger which is red. Red is one of many possible colors (a/an) anger can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856d6a-651d-11ea-824c-acde48001122,I know that (a/an) wheat is red as most or all other things similar to (a/an) wheat are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840fe2-651d-11ea-824c-acde48001122,"I think (a/an) sauce can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b68410d2-651d-11ea-824c-acde48001122,"Usually, (a/an) sauce is not red, but there could be a highly unusual situation in which (a/an) sauce is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b8700f40-651d-11ea-824c-acde48001122,You can find (a/an) pomade which is round. Round is one of many possible shapes (a/an) pomade can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b6702e0a-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) tomato does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b855692e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sundae to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b68412bc-651d-11ea-824c-acde48001122,"I could say (a/an) sauce is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b68573a0-651d-11ea-824c-acde48001122,"I could say (a/an) wheat is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b8700cfc-651d-11ea-824c-acde48001122,You can find (a/an) pomade which is round. Round is one of a few possible shapes (a/an) pomade can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840a38-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) sauce does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856fa4-651d-11ea-824c-acde48001122,You can find (a/an) wheat which is red. Red is one of many possible colors (a/an) wheat can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b8748da4-651d-11ea-824c-acde48001122,"I think (a/an) scone can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b855630c-651d-11ea-824c-acde48001122,You can find (a/an) sundae which is round. Round is one of many possible shapes (a/an) sundae can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b8737e5a-651d-11ea-824c-acde48001122,"Usually, (a/an) ketchup is not round, but there could be a highly unusual situation in which (a/an) ketchup is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b6702cac-651d-11ea-824c-acde48001122,``Tomato'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b8701756-651d-11ea-824c-acde48001122,"I could say (a/an) pomade is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b85560b4-651d-11ea-824c-acde48001122,You can find (a/an) sundae which is round. Round is one of a few possible shapes (a/an) sundae can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b874876e-651d-11ea-824c-acde48001122,I know that (a/an) scone is round as most or all other things similar to (a/an) scone are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b68571c0-651d-11ea-824c-acde48001122,"Usually, (a/an) wheat is not red, but there could be a highly unusual situation in which (a/an) wheat is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b8701170-651d-11ea-824c-acde48001122,"I think (a/an) pomade can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b8555a88-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) sundae does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b6703134-651d-11ea-824c-acde48001122,You can find (a/an) tomato which is red. Red is one of a few possible colors (a/an) tomato can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b68572ba-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) wheat to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
be654366-651d-11ea-824c-acde48001122,"Usually, (a/an) dowel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) dowel can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-dowel,https://app.prolific.co/submissions/complete?cc=1615F84A
b6856e6e-651d-11ea-824c-acde48001122,You can find (a/an) wheat which is red. Red is one of a few possible colors (a/an) wheat can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b8737270-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) ketchup does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
check4,I am answering questions at random. ,Trains are vehicles. ,Carrots are animals. ,3,1,_check-_check4-_check4,https://app.prolific.co/submissions/complete?cc=1615F84A
test4,"In some situations, you will find a bear which is blue. Blue is one of many possible options. ","In some situations, you will find a t-shirt which is pink. Pink is one of many possible options. ","In some situations, you will find a raven which is blue. Blue is one of many possible options. ",3,1,test_false-_test4-_test4,https://app.prolific.co/submissions/complete?cc=1615F84A
