b6651c5e-651d-11ea-824c-acde48001122,I know that (a/an) glass is red as most or all other things similar to (a/an) glass are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b88468f0-651d-11ea-824c-acde48001122,I know that (a/an) pie is round as most or all other things similar to (a/an) pie are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846508-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) pie does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
be2b361c-651d-11ea-824c-acde48001122,"Usually, (a/an) kickstand cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) kickstand can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-kickstand,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67e03c2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) nectarine to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8260c6a-651d-11ea-824c-acde48001122,I know that (a/an) bowl is round as most or all other things similar to (a/an) bowl are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bb522-651d-11ea-824c-acde48001122,"I could say (a/an) herring is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8261098-651d-11ea-824c-acde48001122,You can find (a/an) bowl which is round. Round is one of many possible shapes (a/an) bowl can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b65ec9bc-651d-11ea-824c-acde48001122,"I think (a/an) broccoli can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-broccoli,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bb432-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) herring to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d4cbe-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) coleslaw to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bab2c-651d-11ea-824c-acde48001122,``Herring'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66520be-651d-11ea-824c-acde48001122,"Usually, (a/an) glass is not red, but there could be a highly unusual situation in which (a/an) glass is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67dff62-651d-11ea-824c-acde48001122,You can find (a/an) nectarine which is red. Red is one of a few possible colors (a/an) nectarine can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b82609f4-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``bowl''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66360d0-651d-11ea-824c-acde48001122,"I could say (a/an) lime is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bb324-651d-11ea-824c-acde48001122,"Usually, (a/an) herring is not red, but there could be a highly unusual situation in which (a/an) herring is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6651a38-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) glass does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635b62-651d-11ea-824c-acde48001122,You can find (a/an) lime which is red. Red is one of a few possible colors (a/an) lime can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66518da-651d-11ea-824c-acde48001122,``Glass'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8260e54-651d-11ea-824c-acde48001122,You can find (a/an) bowl which is round. Round is one of a few possible shapes (a/an) bowl can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d494e-651d-11ea-824c-acde48001122,"I think (a/an) coleslaw can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bb108-651d-11ea-824c-acde48001122,You can find (a/an) herring which is red. Red is one of many possible colors (a/an) herring can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d4520-651d-11ea-824c-acde48001122,You can find (a/an) coleslaw which is round. Round is one of a few possible shapes (a/an) coleslaw can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67dfa6c-651d-11ea-824c-acde48001122,``Nectarine'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846242-651d-11ea-824c-acde48001122,``Pie'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846ef4-651d-11ea-824c-acde48001122,"I think (a/an) pie can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d4304-651d-11ea-824c-acde48001122,I know that (a/an) coleslaw is round as most or all other things similar to (a/an) coleslaw are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66522bc-651d-11ea-824c-acde48001122,"I could say (a/an) glass is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
be25f490-651d-11ea-824c-acde48001122,"Usually, (a/an) pencil cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pencil can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-pencil,https://app.prolific.co/submissions/complete?cc=2C192FC0
b65ecb1a-651d-11ea-824c-acde48001122,"Usually, (a/an) broccoli is not red, but there could be a highly unusual situation in which (a/an) broccoli is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-broccoli,https://app.prolific.co/submissions/complete?cc=2C192FC0
b825fe14-651d-11ea-824c-acde48001122,``Bowl'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8847458-651d-11ea-824c-acde48001122,"I could say (a/an) pie is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6651eac-651d-11ea-824c-acde48001122,You can find (a/an) glass which is red. Red is one of many possible colors (a/an) glass can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635dce-651d-11ea-824c-acde48001122,"I think (a/an) lime can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bafc8-651d-11ea-824c-acde48001122,You can find (a/an) herring which is red. Red is one of a few possible colors (a/an) herring can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67dfc24-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) nectarine does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
be7821b6-651d-11ea-824c-acde48001122,"Usually, (a/an) wrench cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) wrench can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-wrench,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bac9e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) herring does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d3e0e-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``coleslaw''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b88470ac-651d-11ea-824c-acde48001122,"Usually, (a/an) pie is not round, but there could be a highly unusual situation in which (a/an) pie is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67dfd46-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``nectarine''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6651b5a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``glass''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b65ecd40-651d-11ea-824c-acde48001122,"I could say (a/an) broccoli is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-broccoli,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67dfe54-651d-11ea-824c-acde48001122,I know that (a/an) nectarine is red as most or all other things similar to (a/an) nectarine are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67bb234-651d-11ea-824c-acde48001122,"I think (a/an) herring can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b65ecc46-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) broccoli to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-broccoli,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66356d0-651d-11ea-824c-acde48001122,``Lime'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b66521e0-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) glass to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d397c-651d-11ea-824c-acde48001122,``Coleslaw'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6651d76-651d-11ea-824c-acde48001122,You can find (a/an) glass which is red. Red is one of a few possible colors (a/an) glass can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d4ed0-651d-11ea-824c-acde48001122,"I could say (a/an) coleslaw is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635ca2-651d-11ea-824c-acde48001122,You can find (a/an) lime which is red. Red is one of many possible colors (a/an) lime can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846ac6-651d-11ea-824c-acde48001122,You can find (a/an) pie which is round. Round is one of a few possible shapes (a/an) pie can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67baec4-651d-11ea-824c-acde48001122,I know that (a/an) herring is red as most or all other things similar to (a/an) herring are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67e01ce-651d-11ea-824c-acde48001122,"I think (a/an) nectarine can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b82600d0-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) bowl does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-bowl,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635a5e-651d-11ea-824c-acde48001122,I know that (a/an) lime is red as most or all other things similar to (a/an) lime are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d3c10-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) coleslaw does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67e04a8-651d-11ea-824c-acde48001122,"I could say (a/an) nectarine is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6651fd8-651d-11ea-824c-acde48001122,"I think (a/an) glass can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
check1,I am still paying attention to this task.,The earth is round. ,The earth is flat.,3,1,_check-_check1-_check1,https://app.prolific.co/submissions/complete?cc=2C192FC0
test1,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ","""Blue"" is one of the first things which come to mind when I head ""sky"".","""Orange"" is one of the first things which come to mind when I hear ""milk"".",3,1,test_true-_test1-_test1,https://app.prolific.co/submissions/complete?cc=2C192FC0
