37a53bce-2fbf-4d80-a4c7-a979c9560cf7	I think it is impossible for (a/an) bogie to have wheels.	I think it is impossible for (a/an) cow to have fin.	I think it is impossible for (a/an) dolphin to have fin.	4	1	test	impossible-wheels-bogie
318810a1-df93-4206-b580-ac74bd699ca1	``Blade'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) blade is a typical example of things which are dangerous'. 	``Bee'' is one of the first things which come to mind when I hear ``busy' because (a/an) bee is a typical example of things which are busy'. 	``Diamond'' is one of the first things which come to mind when I hear ``cheap' because (a/an) diamond is a typical example of things which are cheap'. 	4	1	test	typical_of_property-dangerous-blade
3b770d06-fce2-4040-984d-bf5e082b5ab8	You can find (a/an) blade which is dangerous. (A/an) blade is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.	4	1	test	variability_open-dangerous-blade
dd9c9757-6a33-4053-ae29-4425a60e5ddf	``Dangerous'' is one for the first things which come to mind when I hear ``blade' because dangerous is one of the typical evaluations of (a/an) blade'.	``Expensive'' is one for the first things which come to mind when I hear ``cigar' because expensive is one of the typical prices of (a/an) cigar'.	``Expensive'' is one for the first things which come to mind when I hear ``cigarette' because expensive is one of the typical prices of (a/an) cigarette'.	4	1	test	typical_of_concept-dangerous-blade
22eb6da6-f2ed-4e99-9aa1-7cc1a3c7cfc7	You can find (a/an) blade which is dangerous. (A/an) blade is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.	4	1	test	variability_limited-dangerous-blade
9ed0eacb-8eb5-42df-96d9-b7b1cd878609	I know that being dangerous is necessary for many things (a/an) blade does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	test	affording_activity-dangerous-blade
40ff8744-b16a-4a6b-bf3e-d37ba407f00f	You can find (a/an) rod which is dangerous. (A/an) rod is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) pea which is frozen. (A/an) pea is usually either frozen or not frozen. It cannot be a bit more or less frozen.	You can find (a/an) soup which is salty. (A/an) soup is usually either salty or not salty. It cannot be a bit more or less salty.	4	1	test	variability_limited-dangerous-rod
5eb44392-e7be-48ab-8153-61714f2be760	I could say (a/an) rod is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	test	creative-dangerous-rod
c594df67-3c28-447b-8b43-648978a32b7a	I think (a/an) rod can be dangerous, but this is rare or uncommon.	I think (a/an) pizza can be sweet, but this is rare or uncommon.	I think (a/an) pizza can be savory, but this is rare or uncommon.	4	1	test	rare-dangerous-rod
ca287cfe-748a-4fc8-a323-3a3d24bfa094	I know that (a/an) rod is dangerous as most or all other things similar to (a/an) rod are dangerous. 	I know that (a/an) chocoloate_bar is sweet as most or all other things similar to (a/an) chocoloate_bar are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 	4	1	test	implied_category-dangerous-rod
95f3793a-c19e-4ee2-8685-e95ce4747f14	You can find (a/an) rod which is dangerous. (A/an) rod is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.	4	1	test	variability_open-dangerous-rod
1151c82f-2acf-4e96-b435-07e9c9c59e7b	``Rod'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) rod is a typical example of things which are dangerous'. 	``Bee'' is one of the first things which come to mind when I hear ``busy' because (a/an) bee is a typical example of things which are busy'. 	``Diamond'' is one of the first things which come to mind when I hear ``cheap' because (a/an) diamond is a typical example of things which are cheap'. 	4	1	test	typical_of_property-dangerous-rod
db9dc3e0-c7a9-4840-ba72-be3821dd38e8	I think it is impossible for (a/an) rod to be dangerous.	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.	4	1	test	impossible-dangerous-rod
a95374c3-db94-424f-9740-dac98e6fcd54	``Dangerous'' is one for the first things which come to mind when I hear ``rod' because dangerous is one of the typical evaluations of (a/an) rod'.	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.	4	1	test	typical_of_concept-dangerous-rod
591c48b3-6ba4-4042-b569-f9ec2b362e50	I know that being dangerous is necessary for many things (a/an) rod does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	test	affording_activity-dangerous-rod
9ffd9003-807f-428f-9b57-e07ddb397e07	Usually, (a/an) rod is not dangerous, but there could be a highly unusual situation in which (a/an) rod is dangerous.	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	4	1	test	unusual-dangerous-rod
b5567d01-7bc7-48a9-8895-095cf612742e	I know that being dangerous is necessary for many things (a/an) phencyclidine does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	test	affording_activity-dangerous-phencyclidine
39226135-cfdb-4e71-a52f-44060dea40bb	``Dangerous'' is one for the first things which come to mind when I hear ``phencyclidine' because dangerous is one of the typical evaluations of (a/an) phencyclidine'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``rasperry' because white is one of the typical colors of (a/an) rasperry'.	4	1	test	typical_of_concept-dangerous-phencyclidine
f718fb55-69b2-43d4-925a-81a43e2a965f	I know that (a/an) phencyclidine is dangerous as most or all other things similar to (a/an) phencyclidine are dangerous. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	test	implied_category-dangerous-phencyclidine
5697f339-04f6-46c1-a7a5-9907c5658b55	I think it is impossible for (a/an) phencyclidine to be dangerous.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	4	1	test	impossible-dangerous-phencyclidine
89e6e148-cd0b-439b-8a4c-fd059329330b	You can find (a/an) phencyclidine which is dangerous. (A/an) phencyclidine is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp, a bit more or less sharp or the opposite of sharp.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid, a bit more or less solid or the opposite of solid.	4	1	test	variability_open-dangerous-phencyclidine
8f8fd514-b293-4680-8633-dc3f82cd6a0a	You can find (a/an) phencyclidine which is dangerous. (A/an) phencyclidine is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.	4	1	test	variability_limited-dangerous-phencyclidine
c138c3fa-f263-4b0e-bc95-dfedda60fa40	I think (a/an) phencyclidine can be dangerous, but this is rare or uncommon.	I think (a/an) soda can be spicy, but this is rare or uncommon.	I think (a/an) window can be transparent, but this is rare or uncommon.	4	1	test	rare-dangerous-phencyclidine
ab3dd253-a758-4e91-9026-95f7a08a0872	Usually, (a/an) phencyclidine is not dangerous, but there could be a highly unusual situation in which (a/an) phencyclidine is dangerous.	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	4	1	test	unusual-dangerous-phencyclidine
7acd4c7f-c1f5-4d9d-a7b7-f62f0358a70b	I could say (a/an) phencyclidine is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	test	creative-dangerous-phencyclidine
19ded827-ebe6-45d7-a36e-74e19b5e4de5	``Phencyclidine'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) phencyclidine is a typical example of things which are dangerous'. 	``Bee'' is one of the first things which come to mind when I hear ``busy' because (a/an) bee is a typical example of things which are busy'. 	``Diamond'' is one of the first things which come to mind when I hear ``cheap' because (a/an) diamond is a typical example of things which are cheap'. 	4	1	test	typical_of_property-dangerous-phencyclidine
87365f34-9baa-43dc-82e6-f1033979e599	You can find (a/an) coyote which is dangerous. (A/an) coyote is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.	4	1	test	variability_open-dangerous-coyote
897e541b-5681-4eee-a401-6c16fccb1f67	I know that being dangerous is necessary for many things (a/an) coyote does or is used for. 	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 	4	1	test	affording_activity-dangerous-coyote
b72d641d-e1f0-4073-948b-30f1c2505ec7	I could say (a/an) coyote is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	test	creative-dangerous-coyote
179b3160-909a-47ee-a1c3-03f71e055dbf	``Dangerous'' is one for the first things which come to mind when I hear ``coyote' because dangerous is one of the typical evaluations of (a/an) coyote'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``rasperry' because white is one of the typical colors of (a/an) rasperry'.	4	1	test	typical_of_concept-dangerous-coyote
2c7ec322-cdd0-469f-8c03-51e9cf711eee	I think it is impossible for (a/an) coyote to be dangerous.	I think it is impossible for (a/an) water to be dry.	I think it is impossible for (a/an) rose to be white.	4	1	test	impossible-dangerous-coyote
e2d8a7d3-b3d2-4e17-ac6c-7a2ea76d0caf	I think (a/an) coyote can be dangerous, but this is rare or uncommon.	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.	4	1	test	rare-dangerous-coyote
87a15d24-cf96-48fc-a981-e318d9cbec64	I know that (a/an) coyote is dangerous as most or all other things similar to (a/an) coyote are dangerous. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	test	implied_category-dangerous-coyote
df405e30-1997-48e8-8ad1-20e9e6732a97	``Coyote'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) coyote is a typical example of things which are dangerous'. 	``Movie_star'' is one of the first things which come to mind when I hear ``famous' because (a/an) movie_star is a typical example of things which are famous'. 	``Mug'' is one of the first things which come to mind when I hear ``expensive' because (a/an) mug is a typical example of things which are expensive'. 	4	1	test	typical_of_property-dangerous-coyote
518a33db-7487-4ee1-9552-d54fe39f1607	You can find (a/an) coyote which is dangerous. (A/an) coyote is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.	4	1	test	variability_limited-dangerous-coyote
6082db08-3d12-4b00-b4a8-2227150a07f9	Usually, (a/an) coyote is not dangerous, but there could be a highly unusual situation in which (a/an) coyote is dangerous.	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.	4	1	test	unusual-dangerous-coyote
6db4cd59-27f2-4453-a9ff-c271a843f255	You can find (a/an) axle which has (a/an) wheels.  (A/an) axle usually either have an wheels or no wheels but this does not distinguish a certain type of axle from others. 	You can find (a/an) dress which has (a/an) pockets.  (A/an) dress usually either have an pockets or no pockets but this does not distinguish a certain type of dress from others. 	You can find (a/an) knife which has (a/an) blade.  (A/an) knife usually either have an blade or no blade but this does not distinguish a certain type of knife from others. 	4	1	test	variability_open-wheels-axle
7169d6d4-5fed-4af6-9be5-3df5b9b9cde4	You can find (a/an) axle which has (a/an) wheels. (A/an) axle usually either has an wheels or no wheels. This distinguishes a certain type of axle from others.	You can find (a/an) car which has (a/an) emergency light. (A/an) car usually either has an emergency light or no emergency light. This distinguishes a certain type of car from others.	You can find (a/an) car which has (a/an) spare_wheel. (A/an) car usually either has an spare_wheel or no spare_wheel. This distinguishes a certain type of car from others.	4	1	test	variability_limited-wheels-axle
f5bdeec6-3a0a-46db-8f07-8fbb47fb9d9e	``Wheels'' is one for the first things which come to mind when I hear ``axle' because wheels is one of the typical parts of (a/an) axle'.	``Engine'' is one for the first things which come to mind when I hear ``car' because engine is one of the typical parts of (a/an) car'.	``Roof'' is one for the first things which come to mind when I hear ``car' because roof is one of the typical parts of (a/an) car'.	4	1	test	typical_of_concept-wheels-axle
679cc359-9ee0-4329-93de-1a37661a56f7	``Axle'' is one of the first things which come to mind when I hear ``wheels' because (a/an) axle is a typical example of things which have (a/an) wheels'. 	``Lion'' is one of the first things which come to mind when I hear ``mane' because (a/an) lion is a typical example of things which have (a/an) mane'. 	``Unicycle'' is one of the first things which come to mind when I hear ``sattle' because (a/an) unicycle is a typical example of things which have (a/an) sattle'. 	4	1	test	typical_of_property-wheels-axle
30afc26c-6fa2-4a44-ba89-de606ba02439	Usually, (a/an) axle does not have wheels, but there could be a highly unusual situation in which (a/an) axle have wheels.	Usually, (a/an) car does not have wings, but there could be a highly unusual situation in which (a/an) car have wings.	Usually, (a/an) bird does not have wings, but there could be a highly unusual situation in which (a/an) bird have wings.	4	1	test	unusual-wheels-axle
17ff5170-9fdd-4396-a94d-1c34dd8253e8	I think it is impossible for (a/an) axle to have wheels.	I think it is impossible for (a/an) rabbit to have beak.	I think it is impossible for (a/an) pen to have ink.	4	1	test	impossible-wheels-axle
e5cf10a7-8dbd-4093-b667-4754213e5cb2	I think (a/an) axle can has wheels, but this is rare or uncommon.	I think (a/an) pen can has batteries, but this is rare or uncommon.	I think (a/an) watch can has batteries, but this is rare or uncommon.	4	1	test	rare-wheels-axle
bb8a54ec-9eb7-4437-a73f-dfb75893ce36	I know that (a/an) axle has (a/an) wheels as most or all other things similar to (a/an) axle have (a/an) wheels. 	I know that (a/an) bunny has (a/an) head as most or all other things similar to (a/an) bunny have (a/an) head. 	I know that (a/an) mug has (a/an) handle as most or all other things similar to (a/an) mug have (a/an) handle. 	4	1	test	implied_category-wheels-axle
2cade60b-84e5-4a9f-a447-d80f52a5ef1e	I know that having (a/an) wheels is necessary for many things (a/an) axle does or is used for. 	I know that having (a/an) point is necessary for many things (a/an) needle does or is used for. 	I know that having (a/an) pocket is necessary for many things (a/an) dress does or is used for. 	4	1	test	affording_activity-wheels-axle
bdb56ca2-28c1-4cb4-b8f1-04f665295029	I could say (a/an) axle has wheels, but I would most certainly not mean it literally.	"I could say (a/an) book has voice, but I would most certainly not mean it literally.
I could say (a/an) idea has gold, but I would most certainly not mean it literally.
I could say (a/an) situation has exit, but I would most certainly not mean it literally."	"I could say (a/an) person has head, but I would most certainly not mean it literally.
I could say (a/an) bike has sattle, but I would most certainly not mean it literally.
I could say (a/an) argument has nose, but I would most certainly not mean it literally."	4	1	test	creative-wheels-axle
b65f8446-0e72-493a-9643-71b1c6afbe23	``Dangerous'' is one for the first things which come to mind when I hear ``dose' because dangerous is one of the typical evaluations of (a/an) dose'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``rasperry' because white is one of the typical colors of (a/an) rasperry'.	4	1	test	typical_of_concept-dangerous-dose
3f3ad011-de7c-4bd4-b2cc-dca7fb0854e7	You can find (a/an) dose which is dangerous. (A/an) dose is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.	4	1	test	variability_limited-dangerous-dose
9939e5f0-0313-4dc1-a4d2-79c1e356608f	Usually, (a/an) dose is not dangerous, but there could be a highly unusual situation in which (a/an) dose is dangerous.	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	4	1	test	unusual-dangerous-dose
ab14718c-ba6f-4d19-9a58-bc4e40a4a923	I think (a/an) dose can be dangerous, but this is rare or uncommon.	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.	4	1	test	rare-dangerous-dose
d6244baa-74e1-46bb-8400-614120aa0adb	I could say (a/an) dose is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	test	creative-dangerous-dose
d83b0838-45bd-4f5b-abf0-2c45168d55d1	You can find (a/an) dose which is dangerous. (A/an) dose is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.	4	1	test	variability_open-dangerous-dose
a6fa934a-1b5d-4ade-9d93-d8cd57852104	I think it is impossible for (a/an) dose to be dangerous.	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.	4	1	test	impossible-dangerous-dose
336b2bd9-245e-4635-8d33-383705168dc5	I know that being dangerous is necessary for many things (a/an) dose does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	test	affording_activity-dangerous-dose
860bd36f-608f-4019-ae9e-1852bd88e744	``Dose'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) dose is a typical example of things which are dangerous'. 	``Movie_star'' is one of the first things which come to mind when I hear ``famous' because (a/an) movie_star is a typical example of things which are famous'. 	``Mug'' is one of the first things which come to mind when I hear ``expensive' because (a/an) mug is a typical example of things which are expensive'. 	4	1	test	typical_of_property-dangerous-dose
44a05e6f-b2f4-4c39-835a-ee5a58ffa18d	I know that (a/an) dose is dangerous as most or all other things similar to (a/an) dose are dangerous. 	I know that (a/an) merlot is alcoholic as most or all other things similar to (a/an) merlot are alcoholic. 	I know that (a/an) lemonade is alcoholic as most or all other things similar to (a/an) lemonade are alcoholic. 	4	1	test	implied_category-dangerous-dose
e4f39d34-4792-4e95-aa9f-ae41bad20227	Usually, (a/an) heap does not have wheels, but there could be a highly unusual situation in which (a/an) heap have wheels.	Usually, (a/an) apple does not have face, but there could be a highly unusual situation in which (a/an) apple have face.	Usually, (a/an) teddy_bear does not have face, but there could be a highly unusual situation in which (a/an) teddy_bear have face.	4	1	test	unusual-wheels-heap
af0d7edc-823c-444a-8cdc-778f93a0862b	I know that having (a/an) wheels is necessary for many things (a/an) heap does or is used for. 	I know that having (a/an) point is necessary for many things (a/an) needle does or is used for. 	I know that having (a/an) pocket is necessary for many things (a/an) dress does or is used for. 	4	1	test	affording_activity-wheels-heap
9658383b-a0d4-4929-a96f-8903f32fdb4d	I know that (a/an) heap has (a/an) wheels as most or all other things similar to (a/an) heap have (a/an) wheels. 	I know that (a/an) bunny has (a/an) head as most or all other things similar to (a/an) bunny have (a/an) head. 	I know that (a/an) mug has (a/an) handle as most or all other things similar to (a/an) mug have (a/an) handle. 	4	1	test	implied_category-wheels-heap
eb46a329-1048-4d76-9cde-c8c453bbc44b	You can find (a/an) heap which has (a/an) wheels. (A/an) heap usually either has an wheels or no wheels. This distinguishes a certain type of heap from others.	You can find (a/an) car which has (a/an) emergency light. (A/an) car usually either has an emergency light or no emergency light. This distinguishes a certain type of car from others.	You can find (a/an) car which has (a/an) spare_wheel. (A/an) car usually either has an spare_wheel or no spare_wheel. This distinguishes a certain type of car from others.	4	1	test	variability_limited-wheels-heap
9b71bc30-777a-45fd-b00f-52321f4547b4	``Heap'' is one of the first things which come to mind when I hear ``wheels' because (a/an) heap is a typical example of things which have (a/an) wheels'. 	``Pot'' is one of the first things which come to mind when I hear ``lid' because (a/an) pot is a typical example of things which have (a/an) lid'. 	``Cat'' is one of the first things which come to mind when I hear ``teeth' because (a/an) cat is a typical example of things which have (a/an) teeth'. 	4	1	test	typical_of_property-wheels-heap
4d6b6bc0-ebf0-4f72-940a-a4f05a733fa2	I could say (a/an) heap has wheels, but I would most certainly not mean it literally.	"I could say (a/an) book has voice, but I would most certainly not mean it literally.
I could say (a/an) idea has gold, but I would most certainly not mean it literally.
I could say (a/an) situation has exit, but I would most certainly not mean it literally."	"I could say (a/an) person has head, but I would most certainly not mean it literally.
I could say (a/an) bike has sattle, but I would most certainly not mean it literally.
I could say (a/an) argument has nose, but I would most certainly not mean it literally."	4	1	test	creative-wheels-heap
c7672aaf-4951-486d-bf3b-e003d644c924	I think it is impossible for (a/an) heap to have wheels.	I think it is impossible for (a/an) goldfish to have lungs.	I think it is impossible for (a/an) dress to have pockets.	4	1	test	impossible-wheels-heap
f7a9554d-6cb2-46ae-8c0f-6f75a6ef489d	``Wheels'' is one for the first things which come to mind when I hear ``heap' because wheels is one of the typical parts of (a/an) heap'.	``Tip'' is one for the first things which come to mind when I hear ``needle' because tip is one of the typical parts of (a/an) needle'.	``Eye'' is one for the first things which come to mind when I hear ``dog' because eye is one of the typical body_part of (a/an) dog'.	4	1	test	typical_of_concept-wheels-heap
8d28de73-13ff-42d8-bbec-495562101c24	I think (a/an) heap can has wheels, but this is rare or uncommon.	I think (a/an) bicycle can has engine, but this is rare or uncommon.	I think (a/an) boat can has engine, but this is rare or uncommon.	4	1	test	rare-wheels-heap
